,name,wikipedia_name,lat,lon,page,wiktor_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
10,Victoria,"Victoria, British Columbia",48.4263,-123.3649,http://en.wikipedia.org/wiki/Victoria%2C_British_Columbia,"Victoria, British Columbia 48.4263,-123.3649","Victoria, British Columbia "," 48.4263 , -123.3649 "," 48.422151 , -123.3657","Victoria, British Columbia 48.4263,-123.3649",[],
11,Victoria,"Victoria, Seychelles",-4.6236,55.4544,http://en.wikipedia.org/wiki/Victoria%2C_Seychelles,"Victoria, Seychelles -4.6236,55.4544","Victoria, Seychelles "," -4.6236 , 55.4544 "," -4.6236111111111 , 55.454444444444","Victoria, Seychelles -4.6236,55.4544",[],
12,Victoria,"Victoria, Gozo",36.0453,14.2417,http://en.wikipedia.org/wiki/Victoria%2C_Gozo,"Victoria, Gozo 36.0453,14.2417","Victoria, Gozo "," 36.0453 , 14.2417 "," 36.05 , 14.25","Victoria, Gozo 36.0453,14.2417",[],
13,Victoria,"Victoria, Kansas",38.8536,-99.1475,http://en.wikipedia.org/wiki/Victoria%2C_Kansas,"Victoria, Kansas 38.8536,-99.1475","Victoria, Kansas "," 38.8536 , -99.1475 "," 38.8536 , -99.1475","Victoria, Kansas 38.8536,-99.1475",[],
14,Lima,Lima,-12.0453,-77.0311,http://en.wikipedia.org/wiki/Lima,"Lima -12.0453,-77.0311",Lima ," -12.0453 , -77.0311 "," -12.05 , -77.033333333333","Lima -12.0453,-77.0311",[],
15,Lima,"Lima, Ohio",40.7408,-84.115,http://en.wikipedia.org/wiki/Lima%2C_Ohio,"Lima, Ohio 40.7408,-84.115","Lima, Ohio "," 40.7408 , -84.115 "," 40.740833333333 , -84.115","Lima, Ohio 40.7408,-84.115",[],
16,Lima,"Lima, Oklahoma",35.1733,-96.5983,http://en.wikipedia.org/wiki/Lima%2C_Oklahoma,"Lima, Oklahoma 35.1733,-96.5983","Lima, Oklahoma "," 35.1733 , -96.5983 "," 35.173333333333 , -96.598333333333","Lima, Oklahoma 35.1733,-96.5983",[],
17,Lima,"Lima, New York",42.8937,-77.61,http://en.wikipedia.org/wiki/Lima%2C_New_York,"Lima, New York 42.8937,-77.61","Lima, New York "," 42.8937 , -77.61 "," 42.90479 , -77.61139","Lima, New York 42.8937,-77.61",[],
18,Santa Barbara,"Santa Barbara, California",34.4258,-119.7142,http://en.wikipedia.org/wiki/Santa_Barbara%2C_California,"Santa Barbara, California 34.4258,-119.7142","Santa Barbara, California "," 34.4258 , -119.7142 "," 34.425833333333 , -119.71416666667","Santa Barbara, California 34.4258,-119.7142",[],
19,Santa Barbara,"Santa Barbara, Iloilo",10.8231,122.5344,http://en.wikipedia.org/wiki/Santa_Barbara%2C_Iloilo,"Santa Barbara, Iloilo 10.8231,122.5344","Santa Barbara, Iloilo "," 10.8231 , 122.5344 "," 10.82306 , 122.53444","Santa Barbara, Iloilo 10.8231,122.5344","[(10.82306, 122.53444), (10.82306, 122.53444), (10.82306, 122.53444), (10.82306, 122.53444), (10.82306, 122.53444)]",0.0
20,Medina,Medina,24.4687,39.6109,http://en.wikipedia.org/wiki/Medina,"Medina 24.4687,39.6109",Medina ," 24.4687 , 39.6109 "," 24.466666666667 , 39.6","Medina 24.4687,39.6109",[],
21,Medina,"Medina, Washington",47.6267,-122.2328,http://en.wikipedia.org/wiki/Medina%2C_Washington,"Medina, Washington 47.6267,-122.2328","Medina, Washington "," 47.6267 , -122.2328 "," 47.62639 , -122.23278","Medina, Washington 47.6267,-122.2328",[],
22,Medina,"Medina, Ohio",41.1358,-81.8642,http://en.wikipedia.org/wiki/Medina%2C_Ohio,"Medina, Ohio 41.1358,-81.8642","Medina, Ohio "," 41.1358 , -81.8642 "," 41.13583 , -81.86389","Medina, Ohio 41.1358,-81.8642",[],
23,Medina,"Medina, Minas Gerais",-16.2228,-41.4769,http://en.wikipedia.org/wiki/Medina%2C_Minas_Gerais,"Medina, Minas Gerais -16.2228,-41.4769","Medina, Minas Gerais "," -16.2228 , -41.4769 "," -16.222777777778 , -41.476944444444","Medina, Minas Gerais -16.2228,-41.4769",[],
24,Medina,"Medina, Outagamie County, Wisconsin",44.2728,-88.6378,http://en.wikipedia.org/wiki/Medina%2C_Outagamie_County%2C_Wisconsin,"Medina, Outagamie County, Wisconsin 44.2728,-88.6378","Medina, Outagamie County, Wisconsin "," 44.2728 , -88.6378 "," 44.2728 , -88.6378","Medina, Outagamie County, Wisconsin 44.2728,-88.6378",[],
25,Bala,"Bala, Gwynedd",52.911,-3.596,http://en.wikipedia.org/wiki/Bala%2C_Gwynedd,"Bala, Gwynedd 52.911,-3.596","Bala, Gwynedd "," 52.911 , -3.596 "," 52.911 , -3.596","Bala, Gwynedd 52.911,-3.596",[],
26,Bala,"Bala, Ontario",45.0167,-79.6167,http://en.wikipedia.org/wiki/Bala%2C_Ontario,"Bala, Ontario 45.0167,-79.6167","Bala, Ontario "," 45.0167 , -79.6167 "," 45.0175 , -79.617222222222","Bala, Ontario 45.0167,-79.6167","[(45.0168, -79.61634), (45.0168, -79.61634), (45.0168, -79.61634)]",0.10424650624804158
27,San Antonio,"San Antonio, Florida",28.3367,-82.275,http://en.wikipedia.org/wiki/San_Antonio%2C_Florida,"San Antonio, Florida 28.3367,-82.275","San Antonio, Florida "," 28.3367 , -82.275 "," 28.336666666667 , -82.275","San Antonio, Florida 28.3367,-82.275",[],
28,San Antonio,"San Antonio, Zambales",14.9486,120.0864,http://en.wikipedia.org/wiki/San_Antonio%2C_Zambales,"San Antonio, Zambales 14.9486,120.0864","San Antonio, Zambales "," 14.9486 , 120.0864 "," 14.95 , 120.08333333333","San Antonio, Zambales 14.9486,120.0864",[],
29,San Antonio,"San Antonio, Quezon",13.9,121.3,http://en.wikipedia.org/wiki/San_Antonio%2C_Quezon,"San Antonio, Quezon 13.9,121.3","San Antonio, Quezon "," 13.9 , 121.3 "," 13.9 , 121.3","San Antonio, Quezon 13.9,121.3","[(15.3062, 120.856), (15.3062, 120.856)]",163.49807671304802
30,San Antonio,"San Antonio, Nueva Ecija",15.3072,120.8572,http://en.wikipedia.org/wiki/San_Antonio%2C_Nueva_Ecija,"San Antonio, Nueva Ecija 15.3072,120.8572","San Antonio, Nueva Ecija "," 15.3072 , 120.8572 "," 15.383333333333 , 120.8","San Antonio, Nueva Ecija 15.3072,120.8572",[],
31,San Antonio,"San Antonio, Northern Samar",12.4347,124.2667,http://en.wikipedia.org/wiki/San_Antonio%2C_Northern_Samar,"San Antonio, Northern Samar 12.4347,124.2667","San Antonio, Northern Samar "," 12.4347 , 124.2667 "," 12.416666666667 , 124.26666666667","San Antonio, Northern Samar 12.4347,124.2667",[],
32,San Antonio,"San Antonio, Oakland, California",37.8009,-122.2408,http://en.wikipedia.org/wiki/San_Antonio%2C_Oakland%2C_California,"San Antonio, Oakland, California 37.8009,-122.2408","San Antonio, Oakland, California "," 37.8009 , -122.2408 "," 37.8009 , -122.241","San Antonio, Oakland, California 37.8009,-122.2408",[],
33,San Pedro,"San Pedro, Laguna",14.3647,121.0556,http://en.wikipedia.org/wiki/San_Pedro%2C_Laguna,"San Pedro, Laguna 14.3647,121.0556","San Pedro, Laguna "," 14.3647 , 121.0556 "," 14.358333333333 , 121.05833333333","San Pedro, Laguna 14.3647,121.0556","[(14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473), (14.3595, 121.0473)]",1.1955859799991022
34,San Pedro,"San Pedro, Los Angeles",33.7343,-118.2876,http://en.wikipedia.org/wiki/San_Pedro%2C_Los_Angeles,"San Pedro, Los Angeles 33.7343,-118.2876","San Pedro, Los Angeles "," 33.7343 , -118.2876 "," 33.74 , -118.29","San Pedro, Los Angeles 33.7343,-118.2876",[],
35,San Pedro,"San Pedro, Buenos Aires",-33.6791,-59.6666,http://en.wikipedia.org/wiki/San_Pedro%2C_Buenos_Aires,"San Pedro, Buenos Aires -33.6791,-59.6666","San Pedro, Buenos Aires "," -33.6791 , -59.6666 "," -33.679444444444 , -59.666944444444","San Pedro, Buenos Aires -33.6791,-59.6666",[],
36,Santa Rosa,"Santa Rosa, California",38.4486,-122.7047,http://en.wikipedia.org/wiki/Santa_Rosa%2C_California,"Santa Rosa, California 38.4486,-122.7047","Santa Rosa, California "," 38.4486 , -122.7047 "," 38.448611111111 , -122.70472222222","Santa Rosa, California 38.4486,-122.7047",[],
37,Santa Rosa,"Santa Rosa, Laguna",14.2963,121.1055,http://en.wikipedia.org/wiki/Santa_Rosa%2C_Laguna,"Santa Rosa, Laguna 14.2963,121.1055","Santa Rosa, Laguna "," 14.2963 , 121.1055 "," 14.316666666667 , 121.11666666667","Santa Rosa, Laguna 14.2963,121.1055",[],
38,Santa Rosa,"Santa Rosa, New Mexico",34.9422,-104.6839,http://en.wikipedia.org/wiki/Santa_Rosa%2C_New_Mexico,"Santa Rosa, New Mexico 34.9422,-104.6839","Santa Rosa, New Mexico "," 34.9422 , -104.6839 "," 34.9422 , -104.684","Santa Rosa, New Mexico 34.9422,-104.6839",[],
39,Santa Rosa,"Santa Rosa, Nueva Ecija",15.4239,120.9389,http://en.wikipedia.org/wiki/Santa_Rosa%2C_Nueva_Ecija,"Santa Rosa, Nueva Ecija 15.4239,120.9389","Santa Rosa, Nueva Ecija "," 15.4239 , 120.9389 "," 15.423888888889 , 120.93888888889","Santa Rosa, Nueva Ecija 15.4239,120.9389",[],
40,Santa Teresa,"Santa Teresa, Rio de Janeiro",-22.9177,-43.1881,http://en.wikipedia.org/wiki/Santa_Teresa%2C_Rio_de_Janeiro,"Santa Teresa, Rio de Janeiro -22.9177,-43.1881","Santa Teresa, Rio de Janeiro "," -22.9177 , -43.1881 "," -22.917528 , -43.188243","Santa Teresa, Rio de Janeiro -22.9177,-43.1881","[(10.23291, -66.66474), (10.23291, -66.66474), (10.23291, -66.66474), (10.23291, -66.66474)]",4485.69625111495
41,Santa Rita,"Santa Rita, Pampanga",14.9953,120.6153,http://en.wikipedia.org/wiki/Santa_Rita%2C_Pampanga,"Santa Rita, Pampanga 14.9953,120.6153","Santa Rita, Pampanga "," 14.9953 , 120.6153 "," 14.995278 , 120.615278","Santa Rita, Pampanga 14.9953,120.6153",[],
42,Santa Rita,"Santa Rita, Samar",11.4497,124.9428,http://en.wikipedia.org/wiki/Santa_Rita%2C_Samar,"Santa Rita, Samar 11.4497,124.9428","Santa Rita, Samar "," 11.4497 , 124.9428 "," 11.466666666667 , 124.95","Santa Rita, Samar 11.4497,124.9428",[],
43,Santa Rita,"Santa Rita, Guam",13.4284,144.6474,http://en.wikipedia.org/wiki/Santa_Rita%2C_Guam,"Santa Rita, Guam 13.4284,144.6474","Santa Rita, Guam "," 13.4284 , 144.6474 "," 13.386111111111 , 144.66888888889","Santa Rita, Guam 13.4284,144.6474",[],
44,Santa Rita,"Santa Rita, New Mexico",32.8036,-108.0608,http://en.wikipedia.org/wiki/Santa_Rita%2C_New_Mexico,"Santa Rita, New Mexico 32.8036,-108.0608","Santa Rita, New Mexico "," 32.8036 , -108.0608 "," 32.8036 , -108.061","Santa Rita, New Mexico 32.8036,-108.0608","[(-7.11389, -34.97806), (-7.11389, -34.97806), (-7.11389, -34.97806), (-7.11389, -34.97806), (-7.11389, -34.97806)]",8882.922565647148
45,Florida,Florida,28.0009,-81.4993,http://en.wikipedia.org/wiki/Florida,"Florida 28.0009,-81.4993",Florida ," 28.0009 , -81.4993 "," 28.133333333333 , -81.631666666667","Florida 28.0009,-81.4993",[],
46,Florida,"Florida, Massachusetts",42.6667,-73.0117,http://en.wikipedia.org/wiki/Florida%2C_Massachusetts,"Florida, Massachusetts 42.6667,-73.0117","Florida, Massachusetts "," 42.6667 , -73.0117 "," 42.66675 , -73.01121","Florida, Massachusetts 42.6667,-73.0117",[],
47,San Francisco,"San Francisco, Córdoba",-31.428,-62.0827,http://en.wikipedia.org/wiki/San_Francisco%2C_C%C3%B3rdoba,"San Francisco, Córdoba -31.428,-62.0827","San Francisco, Córdoba "," -31.428 , -62.0827 "," -31.435555555556 , -62.071388888889","San Francisco, Córdoba -31.428,-62.0827","[(13.7, -88.1), (13.7, -88.1)]",5735.978226835779
48,San Francisco,"San Francisco, Cebu",10.646,124.382,http://en.wikipedia.org/wiki/San_Francisco%2C_Cebu,"San Francisco, Cebu 10.646,124.382","San Francisco, Cebu "," 10.646 , 124.382 "," 10.65 , 124.35","San Francisco, Cebu 10.646,124.382",[],
49,San Francisco,"San Francisco, Agusan del Sur",8.3963,125.9486,http://en.wikipedia.org/wiki/San_Francisco%2C_Agusan_del_Sur,"San Francisco, Agusan del Sur 8.3963,125.9486","San Francisco, Agusan del Sur "," 8.3963 , 125.9486 "," 8.505 , 125.9771","San Francisco, Agusan del Sur 8.3963,125.9486",[],
50,Aurora,"Aurora, Illinois",41.7606,-88.3202,http://en.wikipedia.org/wiki/Aurora%2C_Illinois,"Aurora, Illinois 41.7606,-88.3202","Aurora, Illinois "," 41.7606 , -88.3202 "," 41.76 , -88.298611111111","Aurora, Illinois 41.7606,-88.3202",[],
51,Aurora,"Aurora, Colorado",39.6958,-104.8081,http://en.wikipedia.org/wiki/Aurora%2C_Colorado,"Aurora, Colorado 39.6958,-104.8081","Aurora, Colorado "," 39.6958 , -104.8081 "," 39.710833333333 , -104.8125","Aurora, Colorado 39.6958,-104.8081",[],
52,Aurora,"Aurora, Indiana",39.0583,84.9061,http://en.wikipedia.org/wiki/Aurora%2C_Indiana,"Aurora, Indiana 39.0583,84.9061","Aurora, Indiana "," 39.0583 , 84.9061 "," 39.0586 , -84.9036","Aurora, Indiana 39.0583,84.9061",[],
53,Aurora,"Aurora, Ontario",43.9997,-79.4676,http://en.wikipedia.org/wiki/Aurora%2C_Ontario,"Aurora, Ontario 43.9997,-79.4676","Aurora, Ontario "," 43.9997 , -79.4676 "," 44.0 , -79.466666666667","Aurora, Ontario 43.9997,-79.4676",[],
54,Aurora,"Aurora, Ohio",41.3193,-81.3559,http://en.wikipedia.org/wiki/Aurora%2C_Ohio,"Aurora, Ohio 41.3193,-81.3559","Aurora, Ohio "," 41.3193 , -81.3559 "," 41.3192 , -81.3558","Aurora, Ohio 41.3193,-81.3559",[],
55,Aurora,"Aurora, Cayuga County, New York",42.7467,-76.6994,http://en.wikipedia.org/wiki/Aurora%2C_Cayuga_County%2C_New_York,"Aurora, Cayuga County, New York 42.7467,-76.6994","Aurora, Cayuga County, New York "," 42.7467 , -76.6994 "," 42.74666667 , -76.69944444","Aurora, Cayuga County, New York 42.7467,-76.6994",[],
56,Aurora,"Aurora, Minnesota",47.5292,-92.2403,http://en.wikipedia.org/wiki/Aurora%2C_Minnesota,"Aurora, Minnesota 47.5292,-92.2403","Aurora, Minnesota "," 47.5292 , -92.2403 "," 47.52916667 , -92.24027778","Aurora, Minnesota 47.5292,-92.2403",[],
57,Aurora,"Aurora, Missouri",36.97,-93.7206,http://en.wikipedia.org/wiki/Aurora%2C_Missouri,"Aurora, Missouri 36.97,-93.7206","Aurora, Missouri "," 36.97 , -93.7206 "," 36.97 , -93.7206","Aurora, Missouri 36.97,-93.7206",[],
58,Aurora,"Aurora, Nebraska",40.8667,-98.0036,http://en.wikipedia.org/wiki/Aurora%2C_Nebraska,"Aurora, Nebraska 40.8667,-98.0036","Aurora, Nebraska "," 40.8667 , -98.0036 "," 40.86723 , -98.00422","Aurora, Nebraska 40.8667,-98.0036",[],
59,Aurora,"Aurora, Oregon",45.2303,-122.7553,http://en.wikipedia.org/wiki/Aurora%2C_Oregon,"Aurora, Oregon 45.2303,-122.7553","Aurora, Oregon "," 45.2303 , -122.7553 "," 45.230277777778 , -122.75527777778","Aurora, Oregon 45.2303,-122.7553",[],
60,Aurora,"Aurora, Utah",38.9211,-111.9364,http://en.wikipedia.org/wiki/Aurora%2C_Utah,"Aurora, Utah 38.9211,-111.9364","Aurora, Utah "," 38.9211 , -111.9364 "," 38.921111111111 , -111.93638888889","Aurora, Utah 38.9211,-111.9364",[],
61,Aurora,"Aurora, South Dakota",44.2831,96.6858,http://en.wikipedia.org/wiki/Aurora%2C_South_Dakota,"Aurora, South Dakota 44.2831,96.6858","Aurora, South Dakota "," 44.2831 , 96.6858 "," 44.28413 , -96.68561","Aurora, South Dakota 44.2831,96.6858",[],
62,Aurora,"Aurora, Erie County, New York",42.7681,-78.6125,http://en.wikipedia.org/wiki/Aurora%2C_Erie_County%2C_New_York,"Aurora, Erie County, New York 42.7681,-78.6125","Aurora, Erie County, New York "," 42.7681 , -78.6125 "," 42.768055555556 , -78.6125","Aurora, Erie County, New York 42.7681,-78.6125",[],
63,Aurora,"Aurora, Victoria",-37.62,145.013,http://en.wikipedia.org/wiki/Aurora%2C_Victoria,"Aurora, Victoria -37.62,145.013","Aurora, Victoria "," -37.62 , 145.013 "," -37.62 , 145.013","Aurora, Victoria -37.62,145.013",[],
64,Aurora,"Aurora, Taylor County, Wisconsin",45.1775,-90.8542,http://en.wikipedia.org/wiki/Aurora%2C_Taylor_County%2C_Wisconsin,"Aurora, Taylor County, Wisconsin 45.1775,-90.8542","Aurora, Taylor County, Wisconsin "," 45.1775 , -90.8542 "," 45.1775 , -90.854166666667","Aurora, Taylor County, Wisconsin 45.1775,-90.8542",[],
65,Santa Clara,"Santa Clara, Cuba",22.4067,-79.9667,http://en.wikipedia.org/wiki/Santa_Clara%2C_Cuba,"Santa Clara, Cuba 22.4067,-79.9667","Santa Clara, Cuba "," 22.4067 , -79.9667 "," 22.406666666667 , -79.953055555556","Santa Clara, Cuba 22.4067,-79.9667","[(22.40694, -79.96472), (22.40694, -79.96472)]",1.199489329131359
66,Santa Clara,"Santa Clara, California",37.3544,-121.9692,http://en.wikipedia.org/wiki/Santa_Clara%2C_California,"Santa Clara, California 37.3544,-121.9692","Santa Clara, California "," 37.3544 , -121.9692 "," 37.35 , -121.96666666667","Santa Clara, California 37.3544,-121.9692","[(22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472)]",4334.0731090024665
67,Santa Clara,"Santa Clara, Utah",37.1369,-113.6492,http://en.wikipedia.org/wiki/Santa_Clara%2C_Utah,"Santa Clara, Utah 37.1369,-113.6492","Santa Clara, Utah "," 37.1369 , -113.6492 "," 37.136944444444 , -113.64916666667","Santa Clara, Utah 37.1369,-113.6492","[(22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472)]",3613.800314187705
68,Santa Clara,"Santa Clara, Chiriquí",8.8333,-82.7583,http://en.wikipedia.org/wiki/Santa_Clara%2C_Chiriqu%C3%AD,"Santa Clara, Chiriquí 8.8333,-82.7583","Santa Clara, Chiriquí "," 8.8333 , -82.7583 "," 8.83333333 , -82.75833333","Santa Clara, Chiriquí 8.8333,-82.7583","[(22.40694, -79.96472)]",1538.5128557776134
69,Santa Clara,"Santa Clara, San Vicente",13.7021,-88.728,http://en.wikipedia.org/wiki/Santa_Clara%2C_San_Vicente,"Santa Clara, San Vicente 13.7021,-88.728","Santa Clara, San Vicente "," 13.7021 , -88.728 "," 13.7 , -88.733333333333","Santa Clara, San Vicente 13.7021,-88.728","[(22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472)]",1339.544424214849
70,Santa Clara,"Santa Clara, Eugene, Oregon",44.1,-123.12,http://en.wikipedia.org/wiki/Santa_Clara%2C_Eugene%2C_Oregon,"Santa Clara, Eugene, Oregon 44.1,-123.12","Santa Clara, Eugene, Oregon "," 44.1 , -123.12 "," 44.1 , -123.12","Santa Clara, Eugene, Oregon 44.1,-123.12","[(22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472), (22.40694, -79.96472)]",4608.473747998794
71,San Miguel,"San Miguel, Buenos Aires",-34.5239,-58.7667,http://en.wikipedia.org/wiki/San_Miguel%2C_Buenos_Aires,"San Miguel, Buenos Aires -34.5239,-58.7667","San Miguel, Buenos Aires "," -34.5239 , -58.7667 "," -34.533333333333 , -58.716666666667","San Miguel, Buenos Aires -34.5239,-58.7667","[(9.87121, -84.06084), (9.87121, -84.06084), (9.87121, -84.06084), (9.87121, -84.06084), (9.87121, -84.06084)]",5613.496395795653
72,San Miguel,"San Miguel, El Salvador",13.4814,-88.1775,http://en.wikipedia.org/wiki/San_Miguel%2C_El_Salvador,"San Miguel, El Salvador 13.4814,-88.1775","San Miguel, El Salvador "," 13.4814 , -88.1775 "," 13.483333333333 , -88.183333333333","San Miguel, El Salvador 13.4814,-88.1775","[(13.53333, -88.28333), (13.53333, -88.28333), (13.53333, -88.28333), (13.53333, -88.28333), (13.53333, -88.28333)]",12.157141025889926
73,San Miguel,"San Miguel, Bulacan",15.1361,120.9761,http://en.wikipedia.org/wiki/San_Miguel%2C_Bulacan,"San Miguel, Bulacan 15.1361,120.9761","San Miguel, Bulacan "," 15.1361 , 120.9761 "," 15.145833 , 120.978333","San Miguel, Bulacan 15.1361,120.9761",[],
74,San Miguel,"San Miguel, Catanduanes",13.6411,124.3008,http://en.wikipedia.org/wiki/San_Miguel%2C_Catanduanes,"San Miguel, Catanduanes 13.6411,124.3008","San Miguel, Catanduanes "," 13.6411 , 124.3008 "," 13.633333333333 , 124.3","San Miguel, Catanduanes 13.6411,124.3008",[],
75,San Miguel,"San Miguel, San Luis Obispo County, California",35.7514,-120.6953,http://en.wikipedia.org/wiki/San_Miguel%2C_San_Luis_Obispo_County%2C_California,"San Miguel, San Luis Obispo County, California 35.7514,-120.6953","San Miguel, San Luis Obispo County, California "," 35.7514 , -120.6953 "," 35.751388888889 , -120.69527777778","San Miguel, San Luis Obispo County, California 35.7514,-120.6953",[],
76,San Jose,"San Jose, Camarines Sur",13.6992,123.5183,http://en.wikipedia.org/wiki/San_Jose%2C_Camarines_Sur,"San Jose, Camarines Sur 13.6992,123.5183","San Jose, Camarines Sur "," 13.6992 , 123.5183 "," 13.7 , 123.51666666667","San Jose, Camarines Sur 13.6992,123.5183",[],
77,San Jose,"San Jose, Nueva Ecija",15.7908,120.9925,http://en.wikipedia.org/wiki/San_Jose%2C_Nueva_Ecija,"San Jose, Nueva Ecija 15.7908,120.9925","San Jose, Nueva Ecija "," 15.7908 , 120.9925 "," 15.783333333333 , 121.0","San Jose, Nueva Ecija 15.7908,120.9925",[],
78,San Jose,"San Jose, Occidental Mindoro",12.4828,121.002,http://en.wikipedia.org/wiki/San_Jose%2C_Occidental_Mindoro,"San Jose, Occidental Mindoro 12.4828,121.002","San Jose, Occidental Mindoro "," 12.4828 , 121.002 "," 12.35275 , 121.06761","San Jose, Occidental Mindoro 12.4828,121.002",[],
79,San Jose,"San Jose, Batangas",13.8833,121.1053,http://en.wikipedia.org/wiki/San_Jose%2C_Batangas,"San Jose, Batangas 13.8833,121.1053","San Jose, Batangas "," 13.8833 , 121.1053 "," 13.877222222222 , 121.105","San Jose, Batangas 13.8833,121.1053",[],
80,San Jose,"San Jose, Romblon",12.062,121.9573,http://en.wikipedia.org/wiki/San_Jose%2C_Romblon,"San Jose, Romblon 12.062,121.9573","San Jose, Romblon "," 12.062 , 121.9573 "," 12.066666666667 , 121.93333333333","San Jose, Romblon 12.062,121.9573",[],
81,San Jose,"San Jose, Tarlac",15.4,120.3333,http://en.wikipedia.org/wiki/San_Jose%2C_Tarlac,"San Jose, Tarlac 15.4,120.3333","San Jose, Tarlac "," 15.4 , 120.3333 "," 15.4 , 120.33333333333","San Jose, Tarlac 15.4,120.3333",[],
82,San Jose,"San Jose, Negros Oriental",9.412,123.238,http://en.wikipedia.org/wiki/San_Jose%2C_Negros_Oriental,"San Jose, Negros Oriental 9.412,123.238","San Jose, Negros Oriental "," 9.412 , 123.238 "," 9.4166666666667 , 123.23333333333","San Jose, Negros Oriental 9.412,123.238",[],
