,name,lat,lon,lgl_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
496,Marshall,44.4469,-95.7884,"Marshall 44.4469,-95.7884",Marshall ," 44.4469 , -95.7884 "," 44.446944444444 , -95.788333333333","Marshall 44.4469,-95.7884",[],
497,Chisholm,47.4891,-92.8838,"Chisholm 47.4891,-92.8838",Chisholm ," 47.4891 , -92.8838 "," 47.489166666667 , -92.883888888889","Chisholm 47.4891,-92.8838",[],
499,Mahnomen,47.3152,-95.9687,"Mahnomen 47.3152,-95.9687",Mahnomen ," 47.3152 , -95.9687 "," 47.31527778 , -95.96861111","Mahnomen 47.3152,-95.9687",[],
500,Twin Lakes,43.5597,-93.423,"Twin Lakes 43.5597,-93.423",Twin Lakes ," 43.5597 , -93.423 "," 43.559722222222 , -93.423055555556","Twin Lakes 43.5597,-93.423",[],
501,Perham,46.5944,-95.5725,"Perham 46.5944,-95.5725",Perham ," 46.5944 , -95.5725 "," 46.5944 , -95.57254","Perham 46.5944,-95.5725",[],
502,Otter Tail County,46.4,-95.7003,"Otter Tail County 46.4,-95.7003",Otter Tail County ," 46.4 , -95.7003 "," 46.41 , -95.71","Otter Tail County 46.4,-95.7003",[],
503,Pelican Rapids,46.5708,-96.0831,"Pelican Rapids 46.5708,-96.0831",Pelican Rapids ," 46.5708 , -96.0831 "," 46.570833333333 , -96.083055555556","Pelican Rapids 46.5708,-96.0831",[],
505,Douglas County,45.9333,-95.4503,"Douglas County 45.9333,-95.4503",Douglas County ," 45.9333 , -95.4503 "," 45.94 , -95.45","Douglas County 45.9333,-95.4503","[(38.88466, -95.29261), (38.88466, -95.29261)]",784.6250501575091
506,Kent,46.4363,-96.6848,"Kent 46.4363,-96.6848",Kent ," 46.4363 , -96.6848 "," 46.436388888889 , -96.684722222222","Kent 46.4363,-96.6848",[],
507,Becker County,46.95,-95.6836,"Becker County 46.95,-95.6836",Becker County ," 46.95 , -95.6836 "," 46.93 , -95.67","Becker County 46.95,-95.6836",[],
508,Clay County,46.8833,-96.4837,"Clay County 46.8833,-96.4837",Clay County ," 46.8833 , -96.4837 "," 46.9 , -96.49","Clay County 46.8833,-96.4837",[],
509,Grant County,45.9333,-96.0009,"Grant County 45.9333,-96.0009",Grant County ," 45.9333 , -96.0009 "," 45.93 , -96.01","Grant County 45.9333,-96.0009",[],
510,Mahnomen County,47.3333,-95.817,"Mahnomen County 47.3333,-95.817",Mahnomen County ," 47.3333 , -95.817 "," 47.33 , -95.81","Mahnomen County 47.3333,-95.817",[],
511,Swift County,45.2666,-95.667,"Swift County 45.2666,-95.667",Swift County ," 45.2666 , -95.667 "," 45.29 , -95.68","Swift County 45.2666,-95.667",[],
512,Wilkin County,46.2505,-96.467,"Wilkin County 46.2505,-96.467",Wilkin County ," 46.2505 , -96.467 "," 46.36 , -96.47","Wilkin County 46.2505,-96.467",[],
513,Parkers Prairie,46.153,-95.3289,"Parkers Prairie 46.153,-95.3289",Parkers Prairie ," 46.153 , -95.3289 "," 46.153055555556 , -95.328888888889","Parkers Prairie 46.153,-95.3289",[],
514,Fargo,46.8772,-96.7898,"Fargo 46.8772,-96.7898",Fargo ," 46.8772 , -96.7898 "," 46.877222222222 , -96.789444444444","Fargo 46.8772,-96.7898","[(46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898), (46.87719, -96.7898)]",0.02726188880877494
515,Alexandria,45.8852,-95.3775,"Alexandria 45.8852,-95.3775",Alexandria ," 45.8852 , -95.3775 "," 45.885233333333 , -95.377222222222","Alexandria 45.8852,-95.3775",[],
517,Moorhead,46.8739,-96.7676,"Moorhead 46.8739,-96.7676",Moorhead ," 46.8739 , -96.7676 "," 46.873888888889 , -96.767222222222","Moorhead 46.8739,-96.7676","[(46.87386, -96.76951), (46.87386, -96.76951), (46.87386, -96.76951)]",0.17393211414572315
518,Nebraska,41.5003,-99.7507,"Nebraska 41.5003,-99.7507",Nebraska ," 41.5003 , -99.7507 "," 41.5 , -100.0","Nebraska 41.5003,-99.7507","[(41.50028, -99.75067), (41.50028, -99.75067)]",20.76422205027143
521,North Dakota,47.5003,-100.001,"North Dakota 47.5003,-100.001",North Dakota ," 47.5003 , -100.001 "," 47.5 , -100.5","North Dakota 47.5003,-100.001",[],
523,Oakport,46.9319,-96.779,"Oakport 46.9319,-96.779",Oakport ," 46.9319 , -96.779 "," 46.935277777778 , -96.766388888889","Oakport 46.9319,-96.779","[(46.93191, -96.77897)]",1.0260507669903398
524,United States,39.76,-98.5,"United States 39.76,-98.5",United States ," 39.76 , -98.5 "," 38.895 , -77.036666666667","United States 39.76,-98.5","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
525,Vermont Lake,46.0805,-95.3748,"Vermont Lake 46.0805,-95.3748",Vermont Lake ," 46.0805 , -95.3748 "," 46.08194444 , -95.37305556","Vermont Lake 46.0805,-95.3748",[],
526,Brandon,45.9652,-95.5987,"Brandon 45.9652,-95.5987",Brandon ," 45.9652 , -95.5987 "," 45.965277777778 , -95.598611111111","Brandon 45.9652,-95.5987",[],
527,Kensington,45.778,-95.6962,"Kensington 45.778,-95.6962",Kensington ," 45.778 , -95.6962 "," 45.778055555556 , -95.696111111111","Kensington 45.778,-95.6962","[(33.61671, -111.97431)]",1934.0523908122655
528,Freeborn Lake,45.795,-95.6173,"Freeborn Lake 45.795,-95.6173",Freeborn Lake ," 45.795 , -95.6173 "," 45.79444444 , -95.61722222","Freeborn Lake 45.795,-95.6173","[(43.74405, -93.56623)]",279.61388757852916
529,Nelson,45.8894,-95.2642,"Nelson 45.8894,-95.2642",Nelson ," 45.8894 , -95.2642 "," 45.889444444444 , -95.264166666667","Nelson 45.8894,-95.2642",[],
531,Albany,45.63,-94.57,"Albany 45.63,-94.57",Albany ," 45.63 , -94.57 "," 45.63194444 , -94.57","Albany 45.63,-94.57","[(42.65258, -73.75623)]",1688.4812801181804
532,Alexandria,38.8048,-77.0469,"Alexandria 38.8048,-77.0469",Alexandria ," 38.8048 , -77.0469 "," 38.804722222222 , -77.047222222222","Alexandria 38.8048,-77.0469",[],
533,Virginia,37.5481,-77.4467,"Virginia 37.5481,-77.4467",Virginia ," 37.5481 , -77.4467 "," 37.5 , -79.0","Virginia 37.5481,-77.4467","[(37.54812, -77.44675), (37.54812, -77.44675)]",137.08177709837545
534,Denver,39.7392,-104.985,"Denver 39.7392,-104.985",Denver ," 39.7392 , -104.985 "," 39.73915 , -104.9847","Denver 39.7392,-104.985","[(39.73915, -104.9847)]",0.0
535,Indianapolis,39.7684,-86.158,"Indianapolis 39.7684,-86.158",Indianapolis ," 39.7684 , -86.158 "," 39.768611111111 , -86.158055555556","Indianapolis 39.7684,-86.158","[(39.76838, -86.15804), (39.76838, -86.15804)]",0.025732787496544937
536,Louisville,38.2542,-85.7594,"Louisville 38.2542,-85.7594",Louisville ," 38.2542 , -85.7594 "," 38.254166666667 , -85.760277777778","Louisville 38.2542,-85.7594","[(38.25424, -85.75941), (38.25424, -85.75941)]",0.07621040764113098
537,Kentucky,38.2004,-84.8776,"Kentucky 38.2004,-84.8776",Kentucky ," 38.2004 , -84.8776 "," 37.5 , -85.0","Kentucky 38.2004,-84.8776","[(38.20042, -84.87762), (38.20042, -84.87762), (38.20042, -84.87762), (38.20042, -84.87762), (38.20042, -84.87762), (38.20042, -84.87762), (38.20042, -84.87762)]",78.62096832313505
538,New Haven,41.3082,-72.9282,"New Haven 41.3082,-72.9282",New Haven ," 41.3082 , -72.9282 "," 41.308333333333 , -72.925","New Haven 41.3082,-72.9282","[(41.30815, -72.92816), (41.30815, -72.92816)]",0.2647292548102848
539,Connecticut,41.667,-72.6665,"Connecticut 41.667,-72.6665",Connecticut ," 41.667 , -72.6665 "," 41.6 , -72.7","Connecticut 41.667,-72.6665",[],
540,Sioux Falls,43.55,-96.7003,"Sioux Falls 43.55,-96.7003",Sioux Falls ," 43.55 , -96.7003 "," 43.536388888889 , -96.731666666667","Sioux Falls 43.55,-96.7003","[(43.54997, -96.70033), (43.54997, -96.70033)]",2.9427804554785157
541,South Dakota,44.5003,-100.251,"South Dakota 44.5003,-100.251",South Dakota ," 44.5003 , -100.251 "," 44.5 , -100.0","South Dakota 44.5003,-100.251",[],
542,Surprise,33.6306,-112.333,"Surprise 33.6306,-112.333",Surprise ," 33.6306 , -112.333 "," 33.629194444444 , -112.36779722222","Surprise 33.6306,-112.333",[],
543,Arizona,34.5003,-111.501,"Arizona 34.5003,-111.501",Arizona ," 34.5003 , -111.501 "," 34.286667 , -111.656944","Arizona 34.5003,-111.501",[],
546,New York City,40.7143,-74.006,"New York City 40.7143,-74.006",New York City ," 40.7143 , -74.006 "," 40.67 , -73.94","New York City 40.7143,-74.006",[],
550,Cairo,30.05,31.25,"Cairo 30.05,31.25",Cairo ," 30.05 , 31.25 "," 30.056111111111 , 31.239444444444","Cairo 30.05,31.25","[(30.06263, 31.24967)]",1.2222535756318011
552,Africa,7.1881,21.0938,"Africa 7.1881,21.0938",Africa ," 7.1881 , 21.0938 "," 1.0 , 17.0","Africa 7.1881,21.0938","[(7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375)]",824.2657799371922
553,Khartoum,15.5881,32.5342,"Khartoum 15.5881,32.5342",Khartoum ," 15.5881 , 32.5342 "," 15.60308 , 32.52654","Khartoum 15.5881,32.5342","[(15.55177, 32.53241)]",5.739958911713709
554,Alexandria,31.1981,29.9192,"Alexandria 31.1981,29.9192",Alexandria ," 31.1981 , 29.9192 "," 31.2 , 29.916666666667","Alexandria 31.1981,29.9192",[],
556,Akuressa,6.09639,80.4808,"Akuressa 6.09639,80.4808",Akuressa ," 6.09639 , 80.4808 "," 6.09638889 , 80.48083333","Akuressa 6.09639,80.4808","[(6.1007, 80.4693)]",1.3623192252668652
558,Colombo,6.93194,79.8478,"Colombo 6.93194,79.8478",Colombo ," 6.93194 , 79.8478 "," 6.9166666666667 , 79.833333333333","Colombo 6.93194,79.8478","[(6.93548, 79.84868)]",2.691832589276964
563,Middle East,33.1391,35.8587,"Middle East 33.1391,35.8587",Middle East ," 33.1391 , 35.8587 "," 28.0 , 45.0","Middle East 33.1391,35.8587",[],
567,West Bank,31.6667,35.25,"West Bank 31.6667,35.25",West Bank ," 31.6667 , 35.25 "," 31.66667 , 35.25","West Bank 31.6667,35.25","[(31.66667, 35.25)]",0.0
568,Jerusalem,31.7667,35.2333,"Jerusalem 31.7667,35.2333",Jerusalem ," 31.7667 , 35.2333 "," 31.783333333333 , 35.216666666667","Jerusalem 31.7667,35.2333","[(31.76904, 35.21633)]",1.5896669856015098
572,Damascus,33.5,36.3,"Damascus 33.5,36.3",Damascus ," 33.5 , 36.3 "," 33.513055555556 , 36.291944444444","Damascus 33.5,36.3",[],
573,Tehran,35.6719,51.4244,"Tehran 35.6719,51.4244",Tehran ," 35.6719 , 51.4244 "," 35.7 , 51.416666666667","Tehran 35.6719,51.4244","[(35.69439, 51.42151), (35.69439, 51.42151), (35.69439, 51.42151)]",0.7618541650580704
575,Rolling Meadows,42.0842,-88.0131,"Rolling Meadows 42.0842,-88.0131",Rolling Meadows ," 42.0842 , -88.0131 "," 42.0761 , -88.0258","Rolling Meadows 42.0842,-88.0131",[],
576,Chicago,41.85,-87.6501,"Chicago 41.85,-87.6501",Chicago ," 41.85 , -87.6501 "," 41.881944444444 , -87.627777777778","Chicago 41.85,-87.6501","[(42.58613, -87.8248), (42.58613, -87.8248), (42.58613, -87.8248), (42.58613, -87.8248)]",79.9643623503166
577,DuPage County,41.8334,-88.0834,"DuPage County 41.8334,-88.0834",DuPage County ," 41.8334 , -88.0834 "," 41.833333333333 , -88.083333333333","DuPage County 41.8334,-88.0834","[(41.85195, -88.08567), (41.85195, -88.08567)]",2.079111853364509
578,Lombard,41.88,-88.0078,"Lombard 41.88,-88.0078",Lombard ," 41.88 , -88.0078 "," 41.8761 , -88.015","Lombard 41.88,-88.0078","[(41.88003, -88.00784), (41.88003, -88.00784), (41.88003, -88.00784), (41.88003, -88.00784), (41.88003, -88.00784)]",0.7364568560052153
579,Roselle,41.9847,-88.0798,"Roselle 41.9847,-88.0798",Roselle ," 41.9847 , -88.0798 "," 41.9806 , -88.0856","Roselle 41.9847,-88.0798",[],
580,Illinois,40.0003,-89.2504,"Illinois 40.0003,-89.2504",Illinois ," 40.0003 , -89.2504 "," 40.0 , -89.0","Illinois 40.0003,-89.2504","[(40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037)]",21.326583436574893
581,Bensenville,41.955,-87.9401,"Bensenville 41.955,-87.9401",Bensenville ," 41.955 , -87.9401 "," 41.9581 , -87.9458","Bensenville 41.955,-87.9401","[(41.95503, -87.94007)]",0.5839815900527642
582,Canada,60,-96,"Canada 60,-96",Canada ," 60 , -96 "," 56.0 , -109.0","Canada 60,-96","[(60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258)]",532.0012161364783
583,Glen Ellyn,41.8775,-88.067,"Glen Ellyn 41.8775,-88.067",Glen Ellyn ," 41.8775 , -88.067 "," 41.871111111111 , -88.063055555556","Glen Ellyn 41.8775,-88.067","[(41.87753, -88.06701)]",0.7852636200413816
584,Schaumburg,42.0334,-88.0834,"Schaumburg 42.0334,-88.0834",Schaumburg ," 42.0334 , -88.0834 "," 42.030277777778 , -88.083888888889","Schaumburg 42.0334,-88.0834","[(42.03336, -88.08341), (42.03336, -88.08341), (42.03336, -88.08341)]",0.3450027131450763
585,Northbrook,42.1275,-87.829,"Northbrook 42.1275,-87.829",Northbrook ," 42.1275 , -87.829 "," 42.1292 , -87.8408","Northbrook 42.1275,-87.829","[(42.12753, -87.82895)]",0.9947223650625574
586,Hudson,40.6059,-88.9873,"Hudson 40.6059,-88.9873",Hudson ," 40.6059 , -88.9873 "," 40.6058 , -88.9872","Hudson 40.6059,-88.9873",[],
587,Macon County,39.8667,-88.9667,"Macon County 39.8667,-88.9667",Macon County ," 39.8667 , -88.9667 "," 39.86 , -88.96","Macon County 39.8667,-88.9667","[(39.86, -88.9616)]",0.13656762794643723
588,McLean County,40.4834,-88.8334,"McLean County 40.4834,-88.8334",McLean County ," 40.4834 , -88.8334 "," 40.49 , -88.85","McLean County 40.4834,-88.8334","[(40.49089, -88.84732), (40.49089, -88.84732)]",0.24730022743509525
589,Des Plaines,42.0334,-87.8834,"Des Plaines 42.0334,-87.8834",Des Plaines ," 42.0334 , -87.8834 "," 42.033888888889 , -87.899722222222","Des Plaines 42.0334,-87.8834","[(42.03336, -87.8834)]",1.3493406055540238
590,Milwaukee,43.0389,-87.9065,"Milwaukee 43.0389,-87.9065",Milwaukee ," 43.0389 , -87.9065 "," 43.0389 , -87.90647","Milwaukee 43.0389,-87.9065","[(43.0389, -87.90647)]",0.0
592,Pewaukee,43.0806,-88.2612,"Pewaukee 43.0806,-88.2612",Pewaukee ," 43.0806 , -88.2612 "," 43.061388888889 , -88.249444444444","Pewaukee 43.0806,-88.2612","[(43.08057, -88.2612), (43.08057, -88.2612)]",2.3368453097264843
593,Bolingbrook,41.6986,-88.0684,"Bolingbrook 41.6986,-88.0684",Bolingbrook ," 41.6986 , -88.0684 "," 41.6986 , -88.0886","Bolingbrook 41.6986,-88.0684","[(41.69864, -88.0684)]",1.6770962851575164
594,Joliet,41.525,-88.0817,"Joliet 41.525,-88.0817",Joliet ," 41.525 , -88.0817 "," 41.5225 , -88.140555555556","Joliet 41.525,-88.0817",[],
595,Tarrant County,32.7668,-97.3003,"Tarrant County 32.7668,-97.3003",Tarrant County ," 32.7668 , -97.3003 "," 32.77 , -97.29","Tarrant County 32.7668,-97.3003","[(32.77156, -97.29124), (32.77156, -97.29124), (32.77156, -97.29124)]",0.2086414676088767
596,Fort Worth,32.7254,-97.3208,"Fort Worth 32.7254,-97.3208",Fort Worth ," 32.7254 , -97.3208 "," 32.757222222222 , -97.333055555556","Fort Worth 32.7254,-97.3208","[(32.72541, -97.32085), (32.72541, -97.32085), (32.72541, -97.32085)]",3.7170030048728315
597,Texas,31.2504,-99.2506,"Texas 31.2504,-99.2506",Texas ," 31.2504 , -99.2506 "," 31.0 , -100.0","Texas 31.2504,-99.2506","[(31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061)]",76.57533089886559
598,Arlington,32.7357,-97.1081,"Arlington 32.7357,-97.1081",Arlington ," 32.7357 , -97.1081 "," 32.705033 , -97.122839","Arlington 32.7357,-97.1081","[(32.73569, -97.10807), (32.73569, -97.10807), (32.73569, -97.10807)]",3.678260615244095
599,Ohio,40.2503,-83.0002,"Ohio 40.2503,-83.0002",Ohio ," 40.2503 , -83.0002 "," 40.5 , -82.5","Ohio 40.2503,-83.0002","[(40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018), (40.25034, -83.00018)]",50.65489253730201
601,Wintersville,40.3753,-80.7037,"Wintersville 40.3753,-80.7037",Wintersville ," 40.3753 , -80.7037 "," 40.37535 , -80.70369","Wintersville 40.3753,-80.7037","[(40.37535, -80.70369)]",0.0
602,Grand Prairie,32.746,-96.9978,"Grand Prairie 32.746,-96.9978",Grand Prairie ," 32.746 , -96.9978 "," 32.715278 , -97.016944","Grand Prairie 32.746,-96.9978","[(32.74596, -96.99778)]",3.85396044653136
603,Mansfield,32.5632,-97.1417,"Mansfield 32.5632,-97.1417",Mansfield ," 32.5632 , -97.1417 "," 32.57694 , -97.12667","Mansfield 32.5632,-97.1417","[(53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2), (53.13333, -1.2)]",7534.06792640464
604,Eastland County,32.3335,-98.8337,"Eastland County 32.3335,-98.8337",Eastland County ," 32.3335 , -98.8337 "," 32.33 , -98.83","Eastland County 32.3335,-98.8337","[(32.32707, -98.83232), (32.32707, -98.83232)]",0.39200057210789785
605,Callahan County,32.3001,-99.367,"Callahan County 32.3001,-99.367",Callahan County ," 32.3001 , -99.367 "," 32.29 , -99.37","Callahan County 32.3001,-99.367",[],
607,Southlake,32.9412,-97.1342,"Southlake 32.9412,-97.1342",Southlake ," 32.9412 , -97.1342 "," 32.9467 , -97.1453","Southlake 32.9412,-97.1342","[(32.94124, -97.13418), (32.94124, -97.13418)]",1.2022271745015654
608,Houston,29.7633,-95.3633,"Houston 29.7633,-95.3633",Houston ," 29.7633 , -95.3633 "," 29.762777777778 , -95.383055555556","Houston 29.7633,-95.3633","[(29.76328, -95.36327)]",1.9106544372531566
609,Colleyville,32.881,-97.155,"Colleyville 32.881,-97.155",Colleyville ," 32.881 , -97.155 "," 32.885 , -97.149166666667","Colleyville 32.881,-97.155","[(32.88096, -97.15501)]",0.7067796046703011
610,California,37.2502,-119.751,"California 37.2502,-119.751",California ," 37.2502 , -119.751 "," 37.0 , -120.0","California 37.2502,-119.751","[(41.79644, -84.88329), (38.3004, -76.50745), (41.79644, -84.88329), (41.79644, -84.88329), (41.79644, -84.88329), (9.9679, 124.4183), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288), (10.40923, -61.47288)]",6532.245045459357
611,Dallas,32.7831,-96.8067,"Dallas 32.7831,-96.8067",Dallas ," 32.7831 , -96.8067 "," 32.779166666667 , -96.808888888889","Dallas 32.7831,-96.8067","[(32.78306, -96.80667)]",0.4800513319790539
612,Mexico,23,-102,"Mexico 23,-102",Mexico ," 23 , -102 "," 23.316667 , -102.366667","Mexico 23,-102",[],
615,Clarke County,33.9501,-83.3832,"Clarke County 33.9501,-83.3832",Clarke County ," 33.9501 , -83.3832 "," 33.955464 , -83.383245","Clarke County 33.9501,-83.3832",[],
616,Oconee County,33.8335,-83.4332,"Oconee County 33.8335,-83.4332",Oconee County ," 33.8335 , -83.4332 "," 33.84 , -83.44","Oconee County 33.8335,-83.4332",[],
617,Jackson County,34.1334,-83.5666,"Jackson County 34.1334,-83.5666",Jackson County ," 34.1334 , -83.5666 "," 34.13 , -83.56","Jackson County 34.1334,-83.5666",[],
618,Barrow County,33.9834,-83.7166,"Barrow County 33.9834,-83.7166",Barrow County ," 33.9834 , -83.7166 "," 33.99 , -83.71","Barrow County 33.9834,-83.7166",[],
619,Madison County,34.1334,-83.2165,"Madison County 34.1334,-83.2165",Madison County ," 34.1334 , -83.2165 "," 34.13 , -83.21","Madison County 34.1334,-83.2165",[],
620,Athens,33.9609,-83.3779,"Athens 33.9609,-83.3779",Athens ," 33.9609 , -83.3779 "," 33.955277777778 , -83.383055555556","Athens 33.9609,-83.3779",[],
621,Oglethorpe County,33.8668,-83.0832,"Oglethorpe County 33.8668,-83.0832",Oglethorpe County ," 33.8668 , -83.0832 "," 33.88 , -83.08","Oglethorpe County 33.8668,-83.0832",[],
622,Roswell,34.0232,-84.3616,"Roswell 34.0232,-84.3616",Roswell ," 34.0232 , -84.3616 "," 34.0339 , -84.3442","Roswell 34.0232,-84.3616",[],
623,Monroe,33.7948,-83.7132,"Monroe 33.7948,-83.7132",Monroe ," 33.7948 , -83.7132 "," 33.7933 , -83.7108","Monroe 33.7948,-83.7132",[],
624,Walton County,33.7668,-83.7332,"Walton County 33.7668,-83.7332",Walton County ," 33.7668 , -83.7332 "," 33.78 , -83.74","Walton County 33.7668,-83.7332",[],
625,Atlanta,33.749,-84.388,"Atlanta 33.749,-84.388",Atlanta ," 33.749 , -84.388 "," 33.756944444444 , -84.390277777778","Atlanta 33.749,-84.388","[(33.749, -84.38798), (33.749, -84.38798), (33.749, -84.38798), (33.749, -84.38798), (33.749, -84.38798), (33.749, -84.38798)]",0.9085671191926181
626,Gratis,33.8826,-83.6632,"Gratis 33.8826,-83.6632",Gratis ," 33.8826 , -83.6632 "," 33.8825 , -83.6633","Gratis 33.8826,-83.6632",[],
627,Augusta,33.471,-81.9748,"Augusta 33.471,-81.9748",Augusta ," 33.471 , -81.9748 "," 33.47 , -81.975","Augusta 33.471,-81.9748",[],
628,Danielsville,34.1243,-83.2213,"Danielsville 34.1243,-83.2213",Danielsville ," 34.1243 , -83.2213 "," 34.1242 , -83.2164","Danielsville 34.1243,-83.2213",[],
629,Athens,32.2049,-95.8555,"Athens 32.2049,-95.8555",Athens ," 32.2049 , -95.8555 "," 32.2028 , -95.8492","Athens 32.2049,-95.8555","[(37.98376, 23.72784), (37.98376, 23.72784)]",10015.31491096544
630,Henderson County,32.2002,-95.8336,"Henderson County 32.2002,-95.8336",Henderson County ," 32.2002 , -95.8336 "," 32.21 , -95.85","Henderson County 32.2002,-95.8336","[(32.21189, -95.85356)]",0.39540379898630157
631,Frankston,32.0527,-95.5063,"Frankston 32.0527,-95.5063",Frankston ," 32.0527 , -95.5063 "," 32.05266 , -95.50635","Frankston 32.0527,-95.5063",[],
