,geoNameId,toponym,longitude,latitude,recall
363,2440476.0,Republic of Niger,9.0,18.0,0.0
375,5387428.0,Richmond,-122.34775,37.935759999999995,1.0
379,5358707.0,Huntington Beach High School,-118.00313999999999,33.67629,0.0
381,4361885.0,Maryland,-76.74996999999999,39.00039,0.2
391,2410048.0,Bo,-11.73833,7.96472,0.0
397,98182.0,Baghdad,44.40088,33.340579999999996,1.0
398,4398678.0,Missouri,-92.50046,38.25031,0.7647058823529411
402,4091542.0,Springville,-86.47165,33.7751,0.0
411,4369266.0,Shady Grove Adventist Hospital,-77.19872,39.09843,0.0
414,5308655.0,Phoenix,-112.07404,33.44838,1.0
423,5152333.0,Dublin,-83.11408,40.09923,0.0
431,4736286.0,Texas,-99.25061,31.25044,0.8461538461538461
437,1085595.0,Mpumalanga,30.0,-26.0,1.0
444,6641896.0,AwÃ?Â?rÃ?Â?n District,65.42944,26.211570000000002,0.0
448,5368361.0,Los Angeles,-118.24368,34.05223,0.17647058823529413
457,4347778.0,Baltimore,-76.61219,39.29038,0.0
459,6955120.0,Baltimore-Towson,-76.61076,39.28808,0.0
473,4138106.0,District of Columbia,-77.00025,38.91706,0.0
474,4612762.0,Chapman Highway Shopping Center,-83.88101,35.92175,0.0
475,4656630.0,Seymour,-83.72462,35.890640000000005,0.0
484,1179400.0,FaisalÃ?Â?bÃ?Â?d,73.08333,31.41667,0.0
487,290030.0,Doha,51.52245,25.279320000000002,0.0
492,350350.0,RafaÃ¡Â¸Â©,34.23807,31.287809999999997,0.0
499,2420477.0,Republic of Guinea,-10.66667,10.83333,0.0
503,285153.0,West Bank,35.25,31.66667,0.5
514,3333151.0,Harrow,-0.33333,51.56667,1.0
516,4478884.0,Mecklenburg County,-80.83276,35.24671,1.0
517,6167865.0,Toronto,-79.4163,43.700109999999995,0.7142857142857143
518,6255147.0,Asia,89.29688,29.840640000000004,0.5
523,4381982.0,Columbia,-92.33407,38.95171,1.0
526,4945858.0,Northeast Grave,-70.8656,42.3701,0.0
530,2352778.0,Abuja,7.495080000000001,9.05785,0.6
534,102358.0,Kingdom of Saudi Arabia,45.0,25.0,0.0
535,357994.0,Arab Republic of Egypt,30.0,27.0,0.0
538,4165518.0,Myakka River State Park,-82.31398,27.24199,0.0
540,1179400.0,FaisalÄ?bÄ?d,73.08333,31.41667,0.0
546,1270101.0,State of HimÃ?Â?chal Pradesh,77.25,31.91667,0.0
557,4140963.0,"Washington, D.C.",-77.03636999999999,38.895109999999995,0.0
558,5001836.0,Michigan,-85.50033,44.25029,0.5
559,4921868.0,Indiana,-86.25027,40.00032,0.75
560,5165418.0,Ohio,-83.00018,40.25034,0.5
561,2651712.0,Cumbria,-2.83333,54.583330000000004,0.5
562,2647425.0,Harrow,-0.33208000000000004,51.57835,1.0
582,4509650.0,Crosley Field (historical),-84.53522,39.117,0.0
599,2335953.0,Jos,8.89212,9.92849,1.0
600,10376579.0,University of Jos,8.88952,9.94963,0.0
601,4542975.0,Moore,-97.4867,35.33951,0.0
602,4544379.0,Oklahoma,-97.50328,35.492090000000005,0.5
608,5037779.0,Minnesota,-94.25055,46.250240000000005,0.0
612,4634662.0,Kingsport,-82.56182,36.548429999999996,0.0
613,4662168.0,Tennessee,-86.25027,35.75035,0.3333333333333333
615,2643123.0,Manchester,-2.23743,53.48095,0.3333333333333333
628,7839758.0,Newcastle,151.70843,-32.87628,1.0
633,281133.0,Gaza,34.46667,31.5,0.5789473684210527
636,69543.0,Republic of Yemen,47.5,15.5,0.0
639,8104822.0,Sacred Heart Hospital on the Emerald Coast,-86.30672,30.37858,0.0
641,283366.0,Kafr QaddÃ?Â«m,35.144709999999996,32.22162,0.0
675,5376127.0,Napa Valley,-122.28886000000001,38.25936,0.0
676,3723988.0,Republic of Haiti,-72.41667,19.0,0.0
679,2017370.0,Russian Federation,100.0,60.0,0.0
688,5391959.0,San Francisco,-122.41942,37.77493,0.5
689,4099753.0,Arkansas,-92.50044,34.750370000000004,0.0
691,4641239.0,Memphis,-90.04898,35.14953,0.8
698,5126309.0,McCarren Park,-73.95208000000001,40.72121,0.0
713,1814991.0,Peopleâ??s Republic of China,105.0,35.0,0.0
714,1809461.0,Guiyang,106.71667,26.58333,1.0
715,1809445.0,Guizhou Sheng,107.0,27.0,0.0
716,1785694.0,Yunnan Sheng,101.5,25.0,0.0
722,4281730.0,Wichita,-97.33754,37.692240000000005,1.0
723,1269750.0,Republic of India,79.0,22.0,0.0
728,1636629.0,Moluccas,127.71744,-1.57634,0.0
729,1641900.0,Provinsi Kalimantan Barat,110.5,0.0,0.0
738,7668305.0,Sierra Vista Municipal Libby Army Air Field,-110.344,31.5885,0.0
749,2409306.0,Freetown,-13.22994,8.484,0.0
754,6324729.0,Halifax,-63.572390000000006,44.64533,1.0
769,5343229.0,Disneyland,-117.91898,33.81207,0.6923076923076923
770,5809876.0,Seattle-Tacoma International Airport,-122.30928999999999,47.44899,0.3333333333333333
774,5101760.0,New Jersey,-74.49987,40.16706,0.2857142857142857
775,5097575.0,Edgewater,-73.97569,40.827040000000004,0.0
776,3351879.0,Republic of Angola,18.5,-12.5,0.0
779,2077456.0,Commonwealth of Australia,135.0,-25.0,0.0
780,6251999.0,Canada,-113.64258000000001,60.10867,0.5714285714285714
782,6141242.0,Saskatchewan,-106.00098999999999,54.0001,1.0
784,5251436.0,Eau Claire,-91.49849,44.81135,1.0
787,5526337.0,Midland,-102.07791,31.99735,0.0
798,6254926.0,Massachusetts,-71.10831999999999,42.36565,0.5
800,1269745.0,Indo-Gangetic Plain,80.0,27.0,0.0
801,1258077.0,Rohtak,76.66667,28.83333,1.0
815,4887398.0,Chicago,-87.65005,41.85003,0.8
816,4915659.0,Washington and Wabash Building,-87.62644,41.88281,0.0
824,363885.0,Wau,27.9953,7.70286,0.0
825,7909807.0,South Sudan,30.0,7.5,0.42857142857142855
836,2597366.0,Taraba State,10.5,8.0,0.0
838,7729885.0,Western Africa,-4.83398,18.31281,0.0
839,2654675.0,Bristol,-2.59665,51.45523,0.6666666666666666
844,2192362.0,Christchurch,172.63333,-43.53333,1.0
845,2186224.0,New Zealand,174.0,-42.0,0.6666666666666666
861,4186416.0,Carrollton,-85.07661,33.58011,1.0
866,99072.0,Mosul,43.11889,36.335,0.6
879,5328728.0,Biola University,-118.01449,33.90517,1.0
880,5364007.0,La Mirada,-118.01201,33.91724,1.0
881,4381478.0,Clayton,-90.32373,38.64255,0.0
902,4095092.0,University of Alabama,-87.54666999999999,33.21512,0.0
909,4750892.0,Cape Charles,-76.01743,37.267920000000004,0.0
914,1174872.0,Karachi,67.0822,24.9056,0.5
925,3469034.0,Federative Republic of Brazil,-55.0,-10.0,0.0
929,226074.0,Republic of Uganda,32.5,1.25,0.0
931,203312.0,Democratic Republic of the Congo,23.5,-2.5,0.0
941,9781088.0,Klang Valley,101.66127,2.68168,1.0
942,1739590.0,Batu Tiga,103.15,4.7666699999999995,0.0
948,524901.0,Moscow,37.615559999999995,55.752219999999994,0.5
949,9883946.0,Marble Church,-3.4948099999999998,53.266980000000004,0.0
950,2655283.0,Bodelwyddan,-3.5007800000000002,53.268269999999994,1.0
957,5381396.0,Pasadena,-118.14452,34.14778,1.0
960,710230.0,Debalâ??tseve,36.0627,48.11265,0.0
966,1158455.0,Arabian Sea,64.33594000000001,12.21118,1.0
968,2245662.0,Republic of Senegal,-14.25,14.5,0.0
975,5100494.0,Lincoln Tunnel,-74.00986,40.76316,1.0
979,4995197.0,Hamtramck,-83.04964,42.39282,0.0
985,3514780.0,Estado de Veracruz-Llave,-96.66667,19.33333,0.0
986,3530597.0,Mexico City,-99.12765999999999,19.42847,0.5
992,149590.0,United Republic of Tanzania,35.0,-6.0,0.0
994,2645022.0,Lake District,-3.16667,54.5,1.0
995,4392768.0,Joplin,-94.51328000000001,37.08423,0.6666666666666666
1005,285094.0,Al ?aram ash Shar?f,35.23333,31.78333,0.0
1009,6300953.0,Donetsk International Airport,37.73972,48.073609999999995,0.0
1017,4992982.0,Flint,-83.68746,43.01253,1.0
1020,10265149.0,Trilokpuri,77.3163,28.61165,0.0
1021,1261481.0,New Delhi,77.22445,28.635759999999998,0.2222222222222222
1028,2510769.0,Kingdom of Spain,-4.0,40.0,0.0
1029,2510281.0,Torremolinos,-4.49976,36.62035,0.0
1039,2747373.0,The Hague,4.29861,52.07667,1.0
1053,1267701.0,State of KarnÃ?Â?taka,75.83333,14.666670000000002,0.0
1055,1269320.0,State of Jammu and KashmÃ?Â«r,76.66667,33.91667,0.0
1073,5140135.0,Sullivan County,-74.76814,41.71642,1.0
1083,5391811.0,San Diego,-117.15726000000001,32.71533,0.3333333333333333
1086,293397.0,Tel Aviv,34.780570000000004,32.08088,1.0
1097,4436296.0,Mississippi,-89.75036,32.750409999999995,0.5714285714285714
1109,7475240.0,Al QaÃ?Â?r al JumhurÃ?Â«,45.306709999999995,15.46144,0.0
1110,5352058.0,The Geysers,-122.75527,38.77491,0.6666666666666666
1115,5352214.0,Gilroy,-121.56828,37.00578,0.5
1116,5391617.0,San Andreas Fault,-123.69667,39.003890000000006,0.0
1120,4400427.0,New Madrid,-89.52785,36.58645,1.0
1131,5855797.0,Hawaii,-156.50028,20.75028,0.6
1150,6255148.0,Europe,9.14062,48.69096,0.5555555555555556
1153,3017382.0,Republic of France,2.0,46.0,0.0
1154,3703430.0,Republic of Panama,-80.0,9.0,0.0
1172,1124328.0,SÃ?Â«rak,66.19464,34.19717,0.0
1176,2648208.0,Grantham,-0.64184,52.91149,0.75
1177,2644487.0,Lincoln,-0.53792,53.22683000000001,1.0
1178,2637265.0,Spalding,-0.15141,52.78709,1.0
1184,4407066.0,St. Louis,-90.19789,38.62727,0.0
1195,709716.0,Donetska Oblast,37.66667,48.0,0.0
1207,2802361.0,Kingdom of Belgium,4.5,50.75,0.0
1222,4292202.0,Franklin County,-84.87706999999999,38.23915,1.0
1233,170017.0,á¸¨amÄ?h,36.75783,35.13179,0.0
1239,2155400.0,State of New South Wales,146.0,-33.0,0.0
1250,1275339.0,Mumbai,72.88261,19.07283,1.0
1254,4407074.0,Saint Louis County,-90.44341,38.640679999999996,0.0
1264,2641170.0,Nottingham,-1.15047,52.9536,0.0
1267,205413.0,South Kivu Province,28.25,-3.16667,0.0
1270,4227985.0,University of Georgia,-83.37394,33.952059999999996,0.0
1274,3042362.0,Bailiwick of Guernsey,-2.57629,49.45474,0.0
1282,2653822.0,Cardiff,-3.18,51.48,0.0
1284,5174035.0,Toledo,-83.55521,41.663940000000004,0.0
1297,2643339.0,Luton,-0.41748,51.879670000000004,0.0
1302,4717232.0,Palestine,-95.63079,31.76212,0.0
1311,3175395.0,Repubblica Italiana,12.83333,42.83333,0.0
1312,4164138.0,Miami,-80.19366,25.77427,0.6666666666666666
1319,963516.0,Queenstown,26.875329999999998,-31.89756,1.0
1320,1003935.0,University of Fort Hare,26.84328,-32.78314,0.0
1321,1023332.0,Alice,26.8344,-32.787490000000005,1.0
1324,2622320.0,Faroe Islands,-7.0,62.0,0.0
1336,927384.0,Republic of Malawi,34.0,-13.5,0.0
1337,5443164.0,Waldo Canyon,-104.93276000000002,38.87693,1.0
1338,366755.0,Republic of the Sudan,30.0,16.0,0.0
1342,5323694.0,American Canyon,-122.2608,38.17492,0.6666666666666666
1344,6255149.0,North America,-100.54688,46.07323,1.0
1368,1736376.0,Kota Bharu,102.2386,6.13328,0.5
1373,1735161.0,Kuala Lumpur,101.68653,3.1412,0.0
1377,2088628.0,Independent State of Papua New Guinea,147.0,-6.0,0.0
1380,4273857.0,Kansas,-98.50063,38.50029,0.6666666666666666
1381,5073708.0,Nebraska,-99.75067,41.50028,0.3333333333333333
1383,993800.0,Johannesburg,28.04363,-26.202270000000002,0.0
1385,1036973.0,Republic of Mozambique,35.0,-18.25,0.0
1391,5403973.0,Tuolumne County,-119.95475,38.0276,1.0
1399,4193403.0,Emory,-84.32075999999999,33.788990000000005,0.0
1416,2964574.0,Dublin,-6.24889,53.333059999999996,1.0
1418,5120034.0,Harlem,-73.94542,40.80788,1.0
1443,1269320.0,State of Jammu and Kashm?r,76.66667,33.91667,0.0
1445,4644585.0,Nashville,-86.78444,36.165890000000005,1.0
1447,4481757.0,New Hanover County,-77.86561,34.18141,0.0
1448,4484498.0,Pender County,-77.88887,34.51494,0.0
1460,3865483.0,Argentine Republic,-64.0,-34.0,0.0
1473,2634341.0,City of Westminster,-0.11667000000000001,51.5,0.0
1477,8449743.0,Isle of Dogs,-0.017419999999999998,51.4964,0.0
1478,7538675.0,EstÃ?Â¡cio,-43.20733,-22.91296,0.0
1480,170654.0,Damascus,36.29128,33.5102,1.0
1482,166716.0,Mukhayyam al YarmÃ?Â«k,36.3018,33.4699,0.0
1485,709717.0,Donetsk,37.802240000000005,48.023,0.2857142857142857
1486,3686110.0,Republic of Colombia,-73.25,4.0,0.0
1488,9972549.0,Central Valley,-120.19043,36.97623,1.0
1491,4439086.0,Northwest Mississippi Junior College,-89.96953,34.62594,0.0
1493,4575352.0,Columbia,-81.03481,34.00071,0.5
1499,4388434.0,Grand River,-93.10798,39.38447,1.0
1500,4381104.0,Chillicothe,-93.55244,39.79529,1.0
1501,272103.0,Lebanon,35.83333,33.83333,1.0
1506,4182755.0,Bibb County,-83.69776,32.80659,0.0
1507,4055067.0,Chilton County,-86.71880999999999,32.84785,0.0
1520,2656955.0,Ashford,0.87376,51.14648,0.0
1524,2332453.0,Lagos State,3.3522,6.53774,0.0
1530,5125771.0,Manhattan,-73.96625,40.783429999999996,1.0
1559,1018775.0,Bloedrivier,30.50798,-28.23755,0.0
1560,2332459.0,Lagos,3.3946699999999996,6.45407,0.8
1562,5583509.0,Windsor,-104.90136000000001,40.47748,1.0
1571,7289610.0,Moscow Kremlin,37.617779999999996,55.75167,0.0
1572,337996.0,Federal Democratic Republic of Ethiopia,39.5,9.0,0.0
1575,1327865.0,Union of Burma,96.0,21.0,0.0
1578,2634343.0,West Midlands,-1.9666700000000001,52.5,0.0
1582,3996063.0,Mexico,-102.0,23.0,0.8571428571428571
1583,2636063.0,River Thames,0.50812,51.49763,0.0
1585,4942618.0,Lowell,-71.31617,42.63342,1.0
1586,4935038.0,Dracut,-71.30201,42.67037,1.0
1587,4953542.0,Tyngsboro,-71.42451,42.676759999999994,1.0
1588,5090174.0,New Hampshire,-71.4998,43.66702,0.0
1595,2130656.0,Aomori-ken,140.82827,40.7831,0.0
1596,2111834.0,Morioka,141.15,39.7,1.0
1599,4930956.0,Boston,-71.05977,42.35843,0.0
1604,4896861.0,Illinois,-89.25036999999999,40.00032,0.25
1605,2644210.0,Liverpool,-2.9779400000000003,53.41058,0.5
1617,3169070.0,Rome,12.511330000000001,41.89193,1.0
1621,4449593.0,Vaught-Hemingway Stadium,-89.53425,34.36205,1.0
1629,7232877.0,Westboro Baptist Church,-95.7203,39.04568,0.0
1630,4842579.0,Sandy Hook,-73.28206,41.4201,0.0
1635,3531673.0,Cancún,-86.84656,21.17429,0.0
1637,5128638.0,New York,-75.4999,43.00035,0.42857142857142855
1655,970480.0,Nkandla,31.090670000000003,-28.6207,1.0
1659,170903.0,Daraa Governorate,36.21667,32.85,0.0
1675,113646.0,Tabriz,46.2919,38.08,1.0
1676,6695072.0,European Union,4.37599,50.838570000000004,0.0
1677,5357527.0,Hollywood,-118.32673999999999,34.09834,0.5
1681,4720553.0,Presbyterian Hospital of Dallas,-96.76133,32.88157,0.0
1706,7840011.0,Mosul Dam Reservoir,42.897490000000005,36.6563,0.0
1709,1643084.0,Republic of Indonesia,120.0,-5.0,0.0
1711,5967629.0,Guelph,-80.25599,43.54594,0.0
1722,2287781.0,Republic of Côte dIvoire,-5.5,8.0,0.0
1738,5563572.0,Fernbridge,-124.20116999999999,40.616240000000005,1.0
1739,5565500.0,Humboldt County,-123.91582,40.705009999999994,1.0
1740,5563198.0,Eel River,-124.31228,40.64152,0.5
1743,6955078.0,Benemérito de las Américas,-90.65306,16.517220000000002,0.0
1745,1273866.0,Coimbatore,77.09,10.8,0.0
1757,1177662.0,GujrÄ?nwÄ?la,74.18831,32.16167,0.0
1775,285570.0,State of Kuwait,47.75,29.5,0.0
1777,2174003.0,Brisbane,153.02809,-27.467940000000002,1.0
1781,5384925.0,Loma Prieta,-121.84468000000001,37.11078,0.25
1790,1269515.0,Jaipur,75.78781,26.919620000000002,0.0
1799,4195536.0,Floyd County,-85.21428,34.26316,1.0
1810,1282988.0,Federal Democratic Republic of Nepal,84.0,28.0,0.0
1815,294800.0,Haifa,35.0,32.58333,1.0
1820,2361809.0,Burkina Faso,-1.66667,12.5,1.0
1824,1279540.0,Yushu Zangzu Zizhizhou,94.19021,34.39802,0.0
1830,2995469.0,Marseille,5.381069999999999,43.29695,0.0
1832,1819729.0,Hong Kong,114.15768999999999,22.28552,0.8333333333333334
1841,1167710.0,Punjab,72.31976,30.86017,1.0
1842,1278710.0,Amritsar,74.87534000000001,31.62234,0.0
1852,5376095.0,Napa,-122.28553000000001,38.29714,0.6
1856,1814991.0,Peoples Republic of China,105.0,35.0,0.0
1863,239880.0,Central African Republic,21.0,7.0,0.75
1878,2750405.0,Kingdom of the Netherlands,5.75,52.25,0.0
1880,5769223.0,South Dakota,-100.25069,44.50026,0.6666666666666666
1893,5110302.0,Brooklyn,-73.94958000000001,40.6501,0.0
1918,4726206.0,San Antonio,-98.49363000000001,29.424120000000002,0.0
1922,6119128.0,Regional District of Central Okanagan,-119.41908000000001,49.99978,0.0
1927,6254925.0,Kentucky,-84.87762,38.20042,0.5
1946,3625428.0,Bolivarian Republic of Venezuela,-66.0,8.0,0.0
1957,5133967.0,Riverside Church,-73.96292,40.81205,1.0
1972,10418704.0,Kirikiri Prison,3.29806,6.44405,0.0
1973,5549030.0,Utah,-111.75103,39.250240000000005,1.0
1975,6296613.0,East Midlands Airport,-1.32806,52.831109999999995,0.0
1992,3585968.0,Republic of El Salvador,-88.91667,13.833329999999998,0.0
1994,49518.0,Republic of Rwanda,30.0,-2.0,0.0
2015,1269320.0,State of Jammu and KashmÄ«r,76.66667,33.91667,0.0
2017,4155995.0,Fort Myers,-81.84059,26.621679999999998,1.0
2019,5969784.0,Hamilton,-79.93103,43.25521,1.0
2020,6182962.0,Windsor,-83.01654,42.30008,1.0
2021,5920450.0,Chatham-Kent,-82.1831,42.400090000000006,1.0
2022,6051122.0,Leamington,-82.59980999999999,42.050090000000004,1.0
2023,585156.0,Shamakhi,48.64137,40.631409999999995,0.0
2024,615318.0,Caucasus Region,45.0,42.0,0.0
2036,3202326.0,Republic of Croatia,15.5,45.16667,0.0
2044,5506962.0,Las Vegas Convention Center,-115.15,36.13108,0.0
2084,290104.0,Sitrah,50.62056,26.15472,0.0
2085,290291.0,Kingdom of Bahrain,50.55,26.03333,0.0
2099,1168579.0,Islamic Republic of Pakistan,70.0,30.0,0.0
2122,4155751.0,Florida,-82.5001,28.75054,0.5
2123,4168228.0,Pensacola,-87.21691,30.42131,0.0
2131,5101798.0,Newark,-74.17237,40.735659999999996,1.0
2146,5362442.0,Kaiser Permanente South Sacramento Medical Center,-121.4225,38.470659999999995,0.0
2147,4428617.0,The Grove,-89.53341999999999,34.36594,0.0
2151,6944090.0,Reichstagsgebäude,13.3759,52.5179,0.0
2161,126584.0,OstÃ?Â?n-e KordestÃ?Â?n,47.0,35.66667,0.0
2166,4328978.0,Jefferson Parish,-90.09798,29.680970000000002,0.0
2167,4335045.0,New Orleans,-90.07507,29.95465,0.5
2169,1733039.0,Sabah,117.0,5.5,1.0
2170,1733038.0,Sarawak,113.5,2.5,0.3333333333333333
2179,1185241.0,Dhaka,90.40744000000001,23.7104,0.0
2184,5376890.0,Newport Beach,-117.92895,33.61891,0.0
2187,633268.0,Utsjoki,27.02843,69.90864,1.0
2194,1168197.0,Peshawar,71.57849,34.008,0.75
2201,703448.0,Kiev,30.5238,50.45466,0.6666666666666666
2208,4140704.0,The White House,-77.03636999999999,38.89761,0.0
2220,8605009.0,Denali National Park,-151.72361,63.540780000000005,0.0
2225,1173641.0,Khyber Agency,71.0577,33.96113,0.0
2229,6615345.0,University College London Sports Ground,-0.27994,51.71179,0.0
2245,2453866.0,Republic of Mali,-2.0,18.0,0.0
2247,1795912.0,Shanxi Sheng,112.25,37.66667,0.0
2248,1814991.0,PeopleÃ¢Â?Â?s Republic of China,105.0,35.0,0.0
2253,2029969.0,Mongolia,105.0,46.0,1.0
2254,1701668.0,Manila,120.9822,14.6042,0.5
2270,5807517.0,Puget Sound,-122.43458000000001,47.83315,0.5
2276,4905687.0,Peoria,-89.58899,40.69365,0.0
2285,4828278.0,Columbus State University,-84.9416,32.501529999999995,0.0
2291,895949.0,Republic of Zambia,28.5,-14.333329999999998,0.0
2292,6955105.0,Dallas-Fort Worth-Arlington,-97.03262,32.76303,0.0
2304,3007671.0,Languedoc,4.0,44.0,1.0
2326,169137.0,Jawbar,36.33266,33.52032,0.0
2340,5378538.0,Oakland,-122.2708,37.80437,0.6666666666666666
2341,5372555.0,Metropolitan Oakland International Airport,-122.22163,37.72104,0.0
2342,5391606.0,San Andreas Park,-122.06246000000002,37.59493,0.0
2348,1282898.0,Pokhara,83.96851,28.266890000000004,1.0
2356,4160813.0,Key West,-81.79148,24.55459,0.0
2366,5746545.0,Portland,-122.67621000000001,45.52345,1.0
2368,4273837.0,Kansas City,-94.62746,39.11417,1.0
2375,4140827.0,United States Capitol,-77.00887,38.889829999999996,0.0
2394,10861432.0,America,-104.41405999999999,26.0173,0.0
2410,4393217.0,Kansas City,-94.57857,39.09973,0.5
2415,3899539.0,Antofagasta,-70.3954,-23.65236,1.0
2416,3895114.0,Republic of Chile,-71.0,-30.0,0.0
2424,4233813.0,Belleville,-89.98399,38.52005,0.0
2433,8328201.0,Central Visayas,123.9853,10.347389999999999,0.0
2435,1850147.0,Tokyo,139.69171,35.6895,0.6666666666666666
2436,1860101.0,Kant? Heiya,139.5,36.0,0.0
2437,3424976.0,Reykjanes Ridge,-27.0,62.0,0.0
2449,2654993.0,Bradford,-1.75206,53.79391,1.0
