,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
16,Eastern Visayas,Eastern Visayas,11.24,125.05,https://en.wikipedia.org/wiki/Eastern_Visayas,"Eastern Visayas 11.24,125.05",Eastern Visayas ," 11.24 , 125.05 "," 11.24 , 125.04972222222","Eastern Visayas 11.24,125.05","[(11.51649, 124.96204)]",32.19585272269249
17,Tacloban,Tacloban,11.24,125,https://en.wikipedia.org/wiki/Tacloban,"Tacloban 11.24,125",Tacloban ," 11.24 , 125 "," 11.244444444444 , 125.00388888889","Tacloban 11.24,125","[(11.25, 125.0)]",0.7493289143451226
18,Babatngon,"Babatngon, Leyte",11.42,124.85,"https://en.wikipedia.org/wiki/Babatngon,_Leyte","Babatngon, Leyte 11.42,124.85","Babatngon, Leyte "," 11.42 , 124.85 "," 11.416666666667 , 124.85","Babatngon, Leyte 11.42,124.85","[(11.38333, 124.9)]",6.591216716578571
19,Texas,Texas,31,-100,https://en.wikipedia.org/wiki/Texas,"Texas 31,-100",Texas ," 31 , -100 "," 31.0 , -100.0","Texas 31,-100","[(31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (42.16537, -71.89229), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061)]",76.57533089886559
20,Liberia,Liberia,6.5,-9.5,https://en.wikipedia.org/wiki/Liberia,"Liberia 6.5,-9.5",Liberia ," 6.5 , -9.5 "," 6.533333 , -9.75","Liberia 6.5,-9.5","[(6.5, -9.5), (6.5, -9.5), (6.5, -9.5)]",27.86675154482585
21,US,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807), (62.49536, 11.22807)]",6160.465081857826
22,United States,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
23,U.S.,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
24,USA,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
25,Fort Hood,Fort Hood,31.13,-97.78,https://en.wikipedia.org/wiki/Fort_Hood,"Fort Hood 31.13,-97.78",Fort Hood ," 31.13 , -97.78 "," 31.13 , -97.78","Fort Hood 31.13,-97.78","[(31.13489, -97.77561), (31.13489, -97.77561)]",0.6857466573520953
26,Africa,Africa,7.18,21.09,https://en.wikipedia.org/wiki/Africa,"Africa 7.18,21.09",Africa ," 7.18 , 21.09 "," 1.0 , 17.0","Africa 7.18,21.09","[(30.39048, -95.06077), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (18.55959, -69.40352), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375)]",824.2657799371922
27,Washington,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01","[(47.50012, -120.50147)]",3599.905871949824
28,D.C.,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01","[(38.91706, -77.00025)]",3.993313526019066
29,Washington DC,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01","[(38.89511, -77.03637)]",0.028439095358172756
30,Rockville,"Rockville, Maryland",39.08,-77.14,"https://en.wikipedia.org/wiki/Rockville,_Maryland","Rockville, Maryland 39.08,-77.14","Rockville, Maryland "," 39.08 , -77.14 "," 39.084 , -77.15276","Rockville, Maryland 39.08,-77.14","[(39.084, -77.15276)]",0.0
31,Maryland,Maryland,39,-76.7,https://en.wikipedia.org/wiki/Maryland,"Maryland 39,-76.7",Maryland ," 39 , -76.7 "," 39.0 , -76.7","Maryland 39,-76.7","[(39.00039, -76.74997), (39.00039, -76.74997), (39.00039, -76.74997), (39.00039, -76.74997)]",4.318353865560016
32,Nigeria,Nigeria,8,10,https://en.wikipedia.org/wiki/Nigeria,"Nigeria 8,10",Nigeria ," 8 , 10 "," 9.0 , 8.0","Nigeria 8,10","[(10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0)]",111.19508372419146
33,London,London,51.50,-0.12,https://en.wikipedia.org/wiki/London,"London 51.50,-0.12",London ," 51.50 , -0.12 "," 51.507222222222 , -0.1275","London 51.50,-0.12","[(7.65137, -12.00293), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184), (51.51279, -0.09184)]",2.5443361450403015
34,Sierra Leone,Sierra Leone,8.5,-11.5,https://en.wikipedia.org/wiki/Sierra_Leone,"Sierra Leone 8.5,-11.5",Sierra Leone ," 8.5 , -11.5 "," 8.5 , -11.916667","Sierra Leone 8.5,-11.5","[(8.5, -11.5)]",45.82241017318191
35,Glasgow,Glasgow,55.85,-4.25,https://en.wikipedia.org/wiki/Glasgow,"Glasgow 55.85,-4.25",Glasgow ," 55.85 , -4.25 "," 55.87 , -4.27","Glasgow 55.85,-4.25","[(55.86515, -4.25763), (55.86515, -4.25763), (55.86515, -4.25763), (40.64562, -80.5059), (55.86515, -4.25763), (55.86515, -4.25763)]",0.9415446148253248
36,Krasnodar,Krasnodar,45.06,38.96,https://en.wikipedia.org/wiki/Krasnodar,"Krasnodar 45.06,38.96",Krasnodar ," 45.06 , 38.96 "," 45.033333333333 , 38.983333333333","Krasnodar 45.06,38.96","[(44.98811, 38.97675), (44.98811, 38.97675)]",5.055173469253025
37,Russia,Russia,60,90,https://en.wikipedia.org/wiki/Russia,"Russia 60,90",Russia ," 60 , 90 "," 62.0 , 100.0","Russia 60,90","[(60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0)]",222.39016744838287
38,Temryuk,Temryuk,45.26,37.38,https://en.wikipedia.org/wiki/Temryuk,"Temryuk 45.26,37.38",Temryuk ," 45.26 , 37.38 "," 45.266666666667 , 37.383333333333","Temryuk 45.26,37.38","[(45.27055, 37.38716)]",0.5254872843280917
39,Anapa,Anapa,44.88,37.31,https://en.wikipedia.org/wiki/Anapa,"Anapa 44.88,37.31",Anapa ," 44.88 , 37.31 "," 44.894444444444 , 37.316666666667","Anapa 44.88,37.31","[(44.89084, 37.3239)]",0.6966406297189596
40,Taiwan,Taiwan,25.03,121.63,https://en.wikipedia.org/wiki/Taiwan,"Taiwan 25.03,121.63",Taiwan ," 25.03 , 121.63 "," 24.0 , 121.0","Taiwan 25.03,121.63","[(24.0, 121.0), (24.0, 121.0)]",0.0
41,Lujhu,"Luzhu District, Taoyuan",25.03,121.28,"https://en.wikipedia.org/wiki/Luzhu_District,_Taoyuan","Luzhu District, Taoyuan 25.03,121.28","Luzhu District, Taoyuan "," 25.03 , 121.28 "," 25.033333333333 , 121.28333333333","Luzhu District, Taoyuan 25.03,121.28","[(25.04995, 121.26587)]",2.551297348409745
42,Taoyuan,Taoyuan District,24.98,121.31,https://en.wikipedia.org/wiki/Taoyuan_District,"Taoyuan District 24.98,121.31",Taoyuan District ," 24.98 , 121.31 "," 24.988888888889 , 121.31111111111","Taoyuan District 24.98,121.31","[(24.895, 121.24611)]",12.326568788564435
43,Kaohsiung,Kaohsiung,22.63,120.26,https://en.wikipedia.org/wiki/Kaohsiung,"Kaohsiung 22.63,120.26",Kaohsiung ," 22.63 , 120.26 "," 22.616667 , 120.3","Kaohsiung 22.63,120.26","[(22.6533, 120.33806)]",5.643612443579877
44,Dorset,Dorset,50.83,-2.33,https://en.wikipedia.org/wiki/Dorset,"Dorset 50.83,-2.33",Dorset ," 50.83 , -2.33 "," 50.833333333333 , -2.3333333333333","Dorset 50.83,-2.33","[(50.75, -2.33333)]",9.266256979941552
45,England,England,51.5,-0.11,https://en.wikipedia.org/wiki/England,"England 51.5,-0.11",England ," 51.5 , -0.11 "," 53.0 , -1.0","England 51.5,-0.11","[(52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (48.48581, -96.62811), (52.16045, -0.70312), (52.16045, -0.70312), (40.84033, -82.23933), (52.16045, -0.70312)]",95.48443208876338
46,United Kingdom,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (-17.06667, 30.2), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
47,UK,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.9624, 57.1813), (54.9624, 57.1813), (54.9624, 57.1813), (54.9624, 57.1813), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
48,U.K.,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
49,Britain,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (39.25288, -77.69694), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
51,Crawford County,"Crawford County, Pennsylvania",41.68,-80.11,"https://en.wikipedia.org/wiki/Crawford_County,_Pennsylvania","Crawford County, Pennsylvania 41.68,-80.11","Crawford County, Pennsylvania "," 41.68 , -80.11 "," 41.68 , -80.11","Crawford County, Pennsylvania 41.68,-80.11","[(41.6847, -80.10628)]",0.607095704394284
52,Pennsylvania,Pennsylvania,41,-77.5,https://en.wikipedia.org/wiki/Pennsylvania,"Pennsylvania 41,-77.5",Pennsylvania ," 41 , -77.5 "," 41.0 , -77.5","Pennsylvania 41,-77.5","[(40.27245, -76.90567), (40.27245, -76.90567), (40.27245, -76.90567), (40.27245, -76.90567), (40.27245, -76.90567), (40.27245, -76.90567), (40.27245, -76.90567)]",95.18274896174762
53,Asia,Asia,29.84,89.29,https://en.wikipedia.org/wiki/Asia,"Asia 29.84,89.29",Asia ," 29.84 , 89.29 "," 39.0 , 101.0","Asia 29.84,89.29","[(29.84064, 89.29688), (29.84064, 89.29688), (35.24397, -86.09026), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (5.06667, -75.85)]",1477.313316343748
54,Europe,Europe,51,17.5,https://en.wikipedia.org/wiki/Europe,"Europe 51,17.5",Europe ," 51 , 17.5 "," 46.0 , 7.0","Europe 51,17.5","[(48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062)]",339.88492839737796
55,Canada,Canada,60,-95,https://en.wikipedia.org/wiki/Canada,"Canada 60,-95",Canada ," 60 , -95 "," 56.0 , -109.0","Canada 60,-95","[(50.88098, 2.68808), (60.10867, -113.64258), (42.94589, -78.1114), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (37.60566, -82.32431), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (42.94589, -78.1114), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (42.94589, -78.1114), (42.94589, -78.1114), (42.94589, -78.1114), (42.94589, -78.1114), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (33.50346, 36.2598), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (-12.28333, -40.43333), (33.50346, 36.2598), (60.10867, -113.64258), (50.88098, 2.68808), (60.10867, -113.64258)]",532.0012161364783
56,Prince Edward Island,Prince Edward Island,46.25,-63,https://en.wikipedia.org/wiki/Prince_Edward_Island,"Prince Edward Island 46.25,-63",Prince Edward Island ," 46.25 , -63 "," 46.25 , -63.0","Prince Edward Island 46.25,-63","[(46.39808, -63.29844), (46.39808, -63.29844)]",28.218863196004925
58,Charlottetown,Charlottetown,46.23,-63.12,https://en.wikipedia.org/wiki/Charlottetown,"Charlottetown 46.23,-63.12",Charlottetown ," 46.23 , -63.12 "," 46.233611 , -63.128333","Charlottetown 46.23,-63.12","[(46.23899, -63.13414)]",0.7464733146668404
60,Oskarshamn,Oskarshamn,57.26,16.45,https://en.wikipedia.org/wiki/Oskarshamn,"Oskarshamn 57.26,16.45",Oskarshamn ," 57.26 , 16.45 "," 57.261722747986 , 16.447030584667","Oskarshamn 57.26,16.45","[(57.37339, 16.38303)]",12.997896602711435
61,Sweden,Sweden,63,16,https://en.wikipedia.org/wiki/Sweden,"Sweden 63,16",Sweden ," 63 , 16 "," 61.0 , 15.0","Sweden 63,16","[(62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0), (62.0, 15.0)]",111.19508372419146
62,EU,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
63,European Union,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
64,Europe,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
65,Uppsala,Uppsala,59.85,17.64,https://en.wikipedia.org/wiki/Uppsala,"Uppsala 59.85,17.64",Uppsala ," 59.85 , 17.64 "," 59.849760548324 , 17.638946597524","Uppsala 59.85,17.64","[(60.0, 17.75)]",17.815209356602463
66,Rügen,R%C3%BCgen,54.41,13.4,https://en.wikipedia.org/wiki/R%C3%BCgen,"R%C3%BCgen 54.41,13.4",R%C3%BCgen ," 54.41 , 13.4 "," 54.416666666667 , 13.4","R%C3%BCgen 54.41,13.4","[(54.41667, 13.4)]",0.00037065024317590144
67,Baltic Sea,Baltic Sea,58,20,https://en.wikipedia.org/wiki/Baltic_Sea,"Baltic Sea 58,20",Baltic Sea ," 58 , 20 "," 58.0 , 20.0","Baltic Sea 58,20","[(56.0, 18.0)]",253.20916162020205
68,Egypt,Egypt,26,30,https://en.wikipedia.org/wiki/Egypt,"Egypt 26,30",Egypt ," 26 , 30 "," 27.0 , 29.0","Egypt 26,30","[(27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (29.40497, -96.23691)]",99.07528586866296
69,Mediterranean,Mediterranean Sea,35,18,https://en.wikipedia.org/wiki/Mediterranean_Sea,"Mediterranean Sea 35,18",Mediterranean Sea ," 35 , 18 "," 35.0 , 18.0","Mediterranean Sea 35,18","[(35.33549, 25.13111), (35.33549, 25.13111)]",649.139232517624
70,Cairo,Cairo,30.04,31.23,https://en.wikipedia.org/wiki/Cairo,"Cairo 30.04,31.23",Cairo ," 30.04 , 31.23 "," 30.056111111111 , 31.239444444444","Cairo 30.04,31.23","[(30.06263, 31.24967), (30.06263, 31.24967), (30.06263, 31.24967), (37.00533, -89.17646)]",1.2222535756318011
71,Giza,Giza,30.01,31.21,https://en.wikipedia.org/wiki/Giza,"Giza 30.01,31.21",Giza ," 30.01 , 31.21 "," 30.01 , 31.21","Giza 30.01,31.21","[(29.99776, 31.05286)]",15.192724330664053
72,Al-Minya,"Minya, Egypt",28.11,30.74,"https://en.wikipedia.org/wiki/Minya,_Egypt","Minya, Egypt 28.11,30.74","Minya, Egypt "," 28.11 , 30.74 "," 28.083333333333 , 30.75","Minya, Egypt 28.11,30.74",[],
73,Suffolk,Suffolk,52.16,1,https://en.wikipedia.org/wiki/Suffolk,"Suffolk 52.16,1",Suffolk ," 52.16 , 1 "," 52.166666666667 , 1.0","Suffolk 52.16,1","[(52.16667, 1.0), (52.16667, 1.0), (52.16667, 1.0), (52.16667, 1.0)]",0.00037065024317590144
74,Norfolk,Norfolk,52.66,1,https://en.wikipedia.org/wiki/Norfolk,"Norfolk 52.66,1",Norfolk ," 52.66 , 1 "," 52.666666666667 , 1.0","Norfolk 52.66,1","[(52.66667, 1.0), (52.66667, 1.0)]",0.00037065024282223935
