,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
29,Washington DC,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01",[],
30,Rockville,"Rockville, Maryland",39.08,-77.14,"https://en.wikipedia.org/wiki/Rockville,_Maryland","Rockville, Maryland 39.08,-77.14","Rockville, Maryland "," 39.08 , -77.14 "," 39.084 , -77.15276","Rockville, Maryland 39.08,-77.14","[(39.084, -77.15276)]",0.0
31,Maryland,Maryland,39,-76.7,https://en.wikipedia.org/wiki/Maryland,"Maryland 39,-76.7",Maryland ," 39 , -76.7 "," 39.0 , -76.7","Maryland 39,-76.7","[(39.00039, -76.74997), (39.00039, -76.74997), (39.00039, -76.74997)]",4.318353865560016
32,Nigeria,Nigeria,8,10,https://en.wikipedia.org/wiki/Nigeria,"Nigeria 8,10",Nigeria ," 8 , 10 "," 9.0 , 8.0","Nigeria 8,10","[(10.0, 8.0), (10.0, 8.0), (10.0, 8.0), (10.0, 8.0)]",111.19508372419146
33,London,London,51.50,-0.12,https://en.wikipedia.org/wiki/London,"London 51.50,-0.12",London ," 51.50 , -0.12 "," 51.507222222222 , -0.1275","London 51.50,-0.12","[(51.50853, -0.12574), (51.50853, -0.12574), (51.50853, -0.12574), (51.50853, -0.12574), (51.50853, -0.12574), (51.50853, -0.12574)]",0.18969319567879545
34,Sierra Leone,Sierra Leone,8.5,-11.5,https://en.wikipedia.org/wiki/Sierra_Leone,"Sierra Leone 8.5,-11.5",Sierra Leone ," 8.5 , -11.5 "," 8.5 , -11.916667","Sierra Leone 8.5,-11.5","[(8.5, -11.5)]",45.82241017318191
35,Glasgow,Glasgow,55.85,-4.25,https://en.wikipedia.org/wiki/Glasgow,"Glasgow 55.85,-4.25",Glasgow ," 55.85 , -4.25 "," 55.87 , -4.27","Glasgow 55.85,-4.25","[(55.86515, -4.25763), (55.86515, -4.25763)]",0.9415446148253248
36,Krasnodar,Krasnodar,45.06,38.96,https://en.wikipedia.org/wiki/Krasnodar,"Krasnodar 45.06,38.96",Krasnodar ," 45.06 , 38.96 "," 45.033333333333 , 38.983333333333","Krasnodar 45.06,38.96","[(45.04484, 38.97603), (45.04484, 38.97603)]",1.4022768280665143
37,Russia,Russia,60,90,https://en.wikipedia.org/wiki/Russia,"Russia 60,90",Russia ," 60 , 90 "," 62.0 , 100.0","Russia 60,90","[(60.0, 100.0), (60.0, 100.0), (60.0, 100.0), (60.0, 100.0)]",222.39016744838287
38,Temryuk,Temryuk,45.26,37.38,https://en.wikipedia.org/wiki/Temryuk,"Temryuk 45.26,37.38",Temryuk ," 45.26 , 37.38 "," 45.266666666667 , 37.383333333333","Temryuk 45.26,37.38","[(45.27055, 37.38716)]",0.5254872843280917
39,Anapa,Anapa,44.88,37.31,https://en.wikipedia.org/wiki/Anapa,"Anapa 44.88,37.31",Anapa ," 44.88 , 37.31 "," 44.894444444444 , 37.316666666667","Anapa 44.88,37.31","[(44.89497, 37.31623)]",0.06781058214226683
40,Taiwan,Taiwan,25.03,121.63,https://en.wikipedia.org/wiki/Taiwan,"Taiwan 25.03,121.63",Taiwan ," 25.03 , 121.63 "," 24.0 , 121.0","Taiwan 25.03,121.63","[(24.0, 121.0), (24.0, 121.0)]",0.0
41,Lujhu,"Luzhu District, Taoyuan",25.03,121.28,"https://en.wikipedia.org/wiki/Luzhu_District,_Taoyuan","Luzhu District, Taoyuan 25.03,121.28","Luzhu District, Taoyuan "," 25.03 , 121.28 "," 25.033333333333 , 121.28333333333","Luzhu District, Taoyuan 25.03,121.28",[],
42,Taoyuan,Taoyuan District,24.98,121.31,https://en.wikipedia.org/wiki/Taoyuan_District,"Taoyuan District 24.98,121.31",Taoyuan District ," 24.98 , 121.31 "," 24.988888888889 , 121.31111111111","Taoyuan District 24.98,121.31","[(31.98164, 118.89597)]",812.5157987100446
43,Kaohsiung,Kaohsiung,22.63,120.26,https://en.wikipedia.org/wiki/Kaohsiung,"Kaohsiung 22.63,120.26",Kaohsiung ," 22.63 , 120.26 "," 22.616667 , 120.3","Kaohsiung 22.63,120.26",[],
44,Dorset,Dorset,50.83,-2.33,https://en.wikipedia.org/wiki/Dorset,"Dorset 50.83,-2.33",Dorset ," 50.83 , -2.33 "," 50.833333333333 , -2.3333333333333","Dorset 50.83,-2.33","[(50.80249, -2.3045)]",3.9831329416687127
45,England,England,51.5,-0.11,https://en.wikipedia.org/wiki/England,"England 51.5,-0.11",England ," 51.5 , -0.11 "," 53.0 , -1.0","England 51.5,-0.11","[(52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312), (52.16045, -0.70312)]",95.48443208876338
46,United Kingdom,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
47,UK,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
48,U.K.,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3",[],
49,Britain,United Kingdom,55,-3,https://en.wikipedia.org/wiki/United_Kingdom,"United Kingdom 55,-3",United Kingdom ," 55 , -3 "," 54.0 , -2.0","United Kingdom 55,-3","[(54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531), (54.75844, -2.69531)]",95.6023538657139
51,Crawford County,"Crawford County, Pennsylvania",41.68,-80.11,"https://en.wikipedia.org/wiki/Crawford_County,_Pennsylvania","Crawford County, Pennsylvania 41.68,-80.11","Crawford County, Pennsylvania "," 41.68 , -80.11 "," 41.68 , -80.11","Crawford County, Pennsylvania 41.68,-80.11",[],
52,Pennsylvania,Pennsylvania,41,-77.5,https://en.wikipedia.org/wiki/Pennsylvania,"Pennsylvania 41,-77.5",Pennsylvania ," 41 , -77.5 "," 41.0 , -77.5","Pennsylvania 41,-77.5",[],
53,Asia,Asia,29.84,89.29,https://en.wikipedia.org/wiki/Asia,"Asia 29.84,89.29",Asia ," 29.84 , 89.29 "," 39.0 , 101.0","Asia 29.84,89.29","[(29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688), (29.84064, 89.29688)]",1477.313316343748
54,Europe,Europe,51,17.5,https://en.wikipedia.org/wiki/Europe,"Europe 51,17.5",Europe ," 51 , 17.5 "," 46.0 , 7.0","Europe 51,17.5","[(48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062), (48.69096, 9.14062)]",339.88492839737796
55,Canada,Canada,60,-95,https://en.wikipedia.org/wiki/Canada,"Canada 60,-95",Canada ," 60 , -95 "," 56.0 , -109.0","Canada 60,-95","[(60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258), (60.10867, -113.64258)]",532.0012161364783
56,Prince Edward Island,Prince Edward Island,46.25,-63,https://en.wikipedia.org/wiki/Prince_Edward_Island,"Prince Edward Island 46.25,-63",Prince Edward Island ," 46.25 , -63 "," 46.25 , -63.0","Prince Edward Island 46.25,-63",[],
58,Charlottetown,Charlottetown,46.23,-63.12,https://en.wikipedia.org/wiki/Charlottetown,"Charlottetown 46.23,-63.12",Charlottetown ," 46.23 , -63.12 "," 46.233611 , -63.128333","Charlottetown 46.23,-63.12",[],
60,Oskarshamn,Oskarshamn,57.26,16.45,https://en.wikipedia.org/wiki/Oskarshamn,"Oskarshamn 57.26,16.45",Oskarshamn ," 57.26 , 16.45 "," 57.261722747986 , 16.447030584667","Oskarshamn 57.26,16.45",[],
61,Sweden,Sweden,63,16,https://en.wikipedia.org/wiki/Sweden,"Sweden 63,16",Sweden ," 63 , 16 "," 61.0 , 15.0","Sweden 63,16","[(62.0, 15.0), (62.0, 15.0)]",111.19508372419146
62,EU,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
63,European Union,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
64,Europe,European Union,51,17.5,https://en.wikipedia.org/wiki/European_Union,"European Union 51,17.5",European Union ," 51 , 17.5 "," 50.116944444444 , 9.2477777777778","European Union 51,17.5",[],
65,Uppsala,Uppsala,59.85,17.64,https://en.wikipedia.org/wiki/Uppsala,"Uppsala 59.85,17.64",Uppsala ," 59.85 , 17.64 "," 59.849760548324 , 17.638946597524","Uppsala 59.85,17.64",[],
66,Rügen,R%C3%BCgen,54.41,13.4,https://en.wikipedia.org/wiki/R%C3%BCgen,"R%C3%BCgen 54.41,13.4",R%C3%BCgen ," 54.41 , 13.4 "," 54.416666666667 , 13.4","R%C3%BCgen 54.41,13.4",[],
67,Baltic Sea,Baltic Sea,58,20,https://en.wikipedia.org/wiki/Baltic_Sea,"Baltic Sea 58,20",Baltic Sea ," 58 , 20 "," 58.0 , 20.0","Baltic Sea 58,20",[],
68,Egypt,Egypt,26,30,https://en.wikipedia.org/wiki/Egypt,"Egypt 26,30",Egypt ," 26 , 30 "," 27.0 , 29.0","Egypt 26,30","[(27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0), (27.0, 30.0)]",99.07528586866296
69,Mediterranean,Mediterranean Sea,35,18,https://en.wikipedia.org/wiki/Mediterranean_Sea,"Mediterranean Sea 35,18",Mediterranean Sea ," 35 , 18 "," 35.0 , 18.0","Mediterranean Sea 35,18",[],
70,Cairo,Cairo,30.04,31.23,https://en.wikipedia.org/wiki/Cairo,"Cairo 30.04,31.23",Cairo ," 30.04 , 31.23 "," 30.056111111111 , 31.239444444444","Cairo 30.04,31.23","[(30.06263, 31.24967), (30.06263, 31.24967)]",1.2222535756318011
71,Giza,Giza,30.01,31.21,https://en.wikipedia.org/wiki/Giza,"Giza 30.01,31.21",Giza ," 30.01 , 31.21 "," 30.01 , 31.21","Giza 30.01,31.21",[],
72,Al-Minya,"Minya, Egypt",28.11,30.74,"https://en.wikipedia.org/wiki/Minya,_Egypt","Minya, Egypt 28.11,30.74","Minya, Egypt "," 28.11 , 30.74 "," 28.083333333333 , 30.75","Minya, Egypt 28.11,30.74",[],
73,Suffolk,Suffolk,52.16,1,https://en.wikipedia.org/wiki/Suffolk,"Suffolk 52.16,1",Suffolk ," 52.16 , 1 "," 52.166666666667 , 1.0","Suffolk 52.16,1","[(36.72836, -76.58496), (36.72836, -76.58496)]",6081.2062918574
74,Norfolk,Norfolk,52.66,1,https://en.wikipedia.org/wiki/Norfolk,"Norfolk 52.66,1",Norfolk ," 52.66 , 1 "," 52.666666666667 , 1.0","Norfolk 52.66,1",[],
75,Weybridge,Weybridge,51.36,-0.45,https://en.wikipedia.org/wiki/Weybridge,"Weybridge 51.36,-0.45",Weybridge ," 51.36 , -0.45 "," 51.366666666667 , -0.46666666666667","Weybridge 51.36,-0.45","[(33.55233, -84.32381)]",6763.8587423055915
76,Tulungagung,Tulungagung Regency,-8.06,111.9,https://en.wikipedia.org/wiki/Tulungagung_Regency,"Tulungagung Regency -8.06,111.9",Tulungagung Regency ," -8.06 , 111.9 "," -8.0666666666667 , 111.9","Tulungagung Regency -8.06,111.9",[],
77,East Java,East Java,-7.26,112.75,https://en.wikipedia.org/wiki/East_Java,"East Java -7.26,112.75",East Java ," -7.26 , 112.75 "," -7.9391666666667 , 112.95277777778","East Java -7.26,112.75",[],
78,Hong Kong,Hong Kong,22.3,114.2,https://en.wikipedia.org/wiki/Hong_Kong,"Hong Kong 22.3,114.2",Hong Kong ," 22.3 , 114.2 "," 22.278333333333 , 114.15861111111","Hong Kong 22.3,114.2","[(22.27832, 114.17469)]",1.6544335202218612
79,Indonesia,Indonesia,-5,120,https://en.wikipedia.org/wiki/Indonesia,"Indonesia -5,120",Indonesia ," -5 , 120 "," -2.0 , 118.0","Indonesia -5,120","[(-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0)]",400.6754043001542
80,Jakarta,Jakarta,-6.2,106.81,https://en.wikipedia.org/wiki/Jakarta,"Jakarta -6.2,106.81",Jakarta ," -6.2 , 106.81 "," -6.21462 , 106.84513","Jakarta -6.2,106.81","[(-6.21462, 106.84513)]",0.0
81,Fujian,Fujian,25.9,118.3,https://en.wikipedia.org/wiki/Fujian,"Fujian 25.9,118.3",Fujian ," 25.9 , 118.3 "," 25.9 , 118.3","Fujian 25.9,118.3",[],
82,China,China,35,103,https://en.wikipedia.org/wiki/China,"China 35,103",China ," 35 , 103 "," 35.0 , 103.0","China 35,103","[(35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0)]",182.1683173121467
83,People's Republic of China,China,35,103,https://en.wikipedia.org/wiki/China,"China 35,103",China ," 35 , 103 "," 35.0 , 103.0","China 35,103","[(35.0, 105.0), (35.0, 105.0)]",182.1683173121467
84,Wales,Wales,52.3,-3.6,https://en.wikipedia.org/wiki/Wales,"Wales 52.3,-3.6",Wales ," 52.3 , -3.6 "," 52.349602 , -3.637848","Wales 52.3,-3.6",[],
85,Netherlands,Netherlands,52.31,5.55,https://en.wikipedia.org/wiki/Netherlands,"Netherlands 52.31,5.55",Netherlands ," 52.31 , 5.55 "," 52.316666666667 , 5.55","Netherlands 52.31,5.55","[(52.25, 5.75)]",15.493389352730446
86,Fife,Fife,56.25,-3.2,https://en.wikipedia.org/wiki/Fife,"Fife 56.25,-3.2",Fife ," 56.25 , -3.2 "," 56.25 , -3.2","Fife 56.25,-3.2",[],
87,Romania,Romania,46,25,https://en.wikipedia.org/wiki/Romania,"Romania 46,25",Romania ," 46 , 25 "," 46.0 , 25.0","Romania 46,25","[(46.0, 25.0)]",0.0
89,Hohhot,Hohhot,40.81,111.65,https://en.wikipedia.org/wiki/Hohhot,"Hohhot 40.81,111.65",Hohhot ," 40.81 , 111.65 "," 40.81507 , 111.66293","Hohhot 40.81,111.65",[],
90,Inner Mongolia,Inner Mongolia,44,113,https://en.wikipedia.org/wiki/Inner_Mongolia,"Inner Mongolia 44,113",Inner Mongolia ," 44 , 113 "," 40.815 , 111.66305555556","Inner Mongolia 44,113",[],
91,Moscow,Moscow,55.75,37.61,https://en.wikipedia.org/wiki/Moscow,"Moscow 55.75,37.61",Moscow ," 55.75 , 37.61 "," 55.755833333333 , 37.617777777778","Moscow 55.75,37.61","[(55.75222, 37.61556), (55.75222, 37.61556)]",0.4250765705071794
92,Ural Mountains,Ural Mountains,60,60,https://en.wikipedia.org/wiki/Ural_Mountains,"Ural Mountains 60,60",Ural Mountains ," 60 , 60 "," 60.0 , 60.0","Ural Mountains 60,60",[],
93,Danube Delta,Danube Delta,45.33,29.5,https://en.wikipedia.org/wiki/Danube_Delta,"Danube Delta 45.33,29.5",Danube Delta ," 45.33 , 29.5 "," 45.33 , 29.5","Danube Delta 45.33,29.5",[],
94,Virginia,Virginia,37.5,-79,https://en.wikipedia.org/wiki/Virginia,"Virginia 37.5,-79",Virginia ," 37.5 , -79 "," 37.5 , -79.0","Virginia 37.5,-79","[(37.54812, -77.44675)]",137.08177709837545
96,Alaska,Alaska,64,-150,https://en.wikipedia.org/wiki/Alaska,"Alaska 64,-150",Alaska ," 64 , -150 "," 64.0 , -150.0","Alaska 64,-150",[],
97,Americas,Americas,19,-96,https://en.wikipedia.org/wiki/Americas,"Americas 19,-96",Americas ," 19 , -96 "," 19.0 , -96.0","Americas 19,-96",[],
98,Pacific NorthWest,Pacific Northwest,45.99,-118.49,https://en.wikipedia.org/wiki/Pacific_Northwest,"Pacific Northwest 45.99,-118.49",Pacific Northwest ," 45.99 , -118.49 "," 45.8288 , -120.32227","Pacific Northwest 45.99,-118.49",[],
100,North America,North America,54.77,-105.64,https://en.wikipedia.org/wiki/North_America,"North America 54.77,-105.64",North America ," 54.77 , -105.64 "," 47.0 , -105.0","North America 54.77,-105.64","[(46.07323, -100.54688)]",355.8084870760401
101,Greece,Greece,39,22,https://en.wikipedia.org/wiki/Greece,"Greece 39,22",Greece ," 39 , 22 "," 38.5 , 23.0","Greece 39,22","[(39.0, 22.0), (39.0, 22.0), (39.0, 22.0)]",103.01025409144619
102,Bulgaria,Bulgaria,42.75,25.5,https://en.wikipedia.org/wiki/Bulgaria,"Bulgaria 42.75,25.5",Bulgaria ," 42.75 , 25.5 "," 42.75 , 25.5","Bulgaria 42.75,25.5","[(42.66667, 25.25), (42.66667, 25.25), (42.66667, 25.25), (42.66667, 25.25)]",22.430282819239675
103,Italy,Italy,43,12,https://en.wikipedia.org/wiki/Italy,"Italy 43,12",Italy ," 43 , 12 "," 43.0 , 12.0","Italy 43,12","[(42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333)]",70.34551356169513
104,Austria,Austria,47.33,13.33,https://en.wikipedia.org/wiki/Austria,"Austria 47.33,13.33",Austria ," 47.33 , 13.33 "," 48.0 , 14.0","Austria 47.33,13.33","[(47.33333, 13.33333), (47.33333, 13.33333)]",89.37248235113289
105,Germany,Germany,51,9,https://en.wikipedia.org/wiki/Germany,"Germany 51,9",Germany ," 51 , 9 "," 51.0 , 10.0","Germany 51,9","[(51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5)]",65.59012910628785
